Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 150.0463, 133.4033, 179.058, 138.192, 183.1167, 190.5861, 179.0423, 193.2103, 161.1539, 216.4302, 220.6857, 241.491, 1.25, 286, .5, .5, 320.5665, 276.4879, 237.7971, 236.486, 181.8252, 188.8569, 178.681, 168.8517, 186.9169, 179.7931, 187.7212, 168.1343, 173.3035, 171.5529, 174.6339, 162.9877, .5, 234.9781, 1.25, 286, 172.1377, 170.1238, 182.494, 196.7093, 1.25, 286, 185.434, 168.3345, 183.6739, 167.4991, 182.6725, 173.2806, 186.6889, 171.3061, 184.7722, 169.2905, .5, 271.8775, 286.476, 209.944, 1.25, 286, 1.25, 286,
 152.668, 143.7031, 180.0994, 139.0422, 181.6694, 186.6449, 178.5621, 193.8797, 164.2609, 212.7216, 220.4083, 247.5189, 182.7878, 175.4653, 169.4623, 145.4358, 320.9443, 280.1152, 208.7639, 182.3151, 181.8252, 188.8569, 180.1118, 164.5589, 186.736, 175.2592, 186.9941, 167.5066, 173.3035, 171.5529, 176.2775, 165.8571, .5, 234.9781, 1.25, 286, 172.7278, 165.8043, 182.494, 196.7093, 186.2618, 165.5821, 184.0466, 168.4783, 185.318, 163.8601, 181.6182, 170.0013, 187.2462, 169.129, 182.3909, 161.6093, .5, 271.8999, 327.9796, 238.3171, 1.25, 286, 1.25, 286,
 156.9272, 153.6524, 180.0994, 139.0422, 181.0848, 188.8005, 175.9179, 193.9592, 164.0359, 207.0986, 218.8071, 246.0632, 182.7878, 175.4653, 167.4613, 140.7413, 320.5665, 276.4879, 203.4167, 183.0318, 181.8252, 188.8569, 178.681, 168.8517, 179.7113, 180.0489, 181.6973, 165.4912, 172.8769, 175.2303, 178.6959, 169.3675, .5, 234.9781, 1.25, 286, 172.7278, 165.8043, 173.3469, 196.4082, 185.3939, 169.413, 184.6024, 167.7488, 186.6912, 163.6803, 181.0868, 170.7457, 188.1123, 171.2968, 182.3909, 161.6093, .5, 271.8775, 331.3925, 234.1646, 1.25, 286, 1.25, 286,
 156.1752, 154.6761, 180.0994, 139.0422, 180.5416, 188.1378, 175.9179, 193.9592, 162.25, 209.342, 216.8579, 241.3837, 182.7878, 175.4653, 168.067, 141.3178, 304.7347, 265.3036, 211.0241, 185.6411, 181.8252, 188.8569, 179.9487, 170.3044, 180.2775, 179.2983, 180.9806, 166.1969, 172.8769, 175.2303, 178.6959, 169.3675, 167.9755, 186.8436, 1.25, 286, 171.2205, 170.989, 179.1045, 196.9058, 183.1673, 172.1306, 184.5601, 166.3857, 186.5155, 167.1587, 179.0197, 171.6971, 187.1246, 175.6626, 182.3909, 161.6093, .5, 273.7131, 321.4344, 218.204, 1.25, 286, 95.31809, 230.8527,
 151.371, 137.6747, 181.0619, 139.9424, 181.6295, 185.3178, 177.24, 193.9195, 164.919, 210.3429, 221.8878, 244.2308, 182.2301, 175.0143, 166.8618, 140.2784, 242.7305, 233.2625, 175.4492, 286, 181.8252, 188.8569, 179.9487, 170.3044, 180.2775, 179.2983, 183.9067, 166.0504, 173.5372, 175.904, 178.6959, 169.3675, 170.9188, 188.2251, 1.25, 286, 170.0443, 184.7046, 179.1045, 196.9058, 180.6951, 172.376, 188.0653, 166.6595, 183.7717, 167.5288, 181.7228, 171.4881, 189.2899, 174.8151, 183.0497, 160.7744, 1.492939, 275.4384, 323.3878, 223.597, 1.25, 286, 95.31809, 230.8527,
 149.4176, 136.3816, 181.923, 138.9093, 182.9565, 185.2777, 177.24, 193.9195, 164.919, 210.3429, 221.2645, 249.4489, 182.2301, 175.0143, 167.4664, 140.7995, 189.2639, 206.8111, .5, 286, 182.9033, 203.0041, 179.312, 171.0063, 179.4576, 175.6819, 183.9067, 166.0504, 172.8769, 175.2303, 176.8917, 165.0669, 170.1848, 189.1313, 1.25, 286, 173.0318, 190.5896, 178.4284, 196.089, 180.2423, 174.2084, 188.0653, 166.6595, 183.7717, 167.5288, 181.9355, 172.7584, 189.2899, 174.8151, 183.5164, 165.4848, 1.492939, 275.4384, 329.3546, 223.32, 1.25, 286, 90.68384, 230.6081,
 156.1752, 154.6761, 181.0619, 139.9424, 182.3363, 186.0959, 177.7199, 193.2451, 164.6959, 204.7422, 223.0876, 252.5163, 184.3977, 173.8081, 169.1982, 142.2047, 189.8101, 203.7285, 350, 286, 182.9033, 203.0041, 181.5427, 167.4207, 178.9503, 166.9479, 185.6622, 171.8294, 171.7387, 170.3485, 176.8917, 165.0669, 169.6384, 189.9068, 1.25, 286, 177.8502, 183.5441, 176.4153, 191.114, 180.8345, 174.7844, 186.0144, 167.5045, 183.7717, 167.5288, 179.1784, 173.0757, 186.2274, 173.6498, 183.5164, 165.4848, 1.492939, 275.4384, 308.7885, 220.3444, 1.25, 286, 97.17593, 233.9319,
 156.1752, 154.6761, 181.0226, 139.8719, 181.7897, 190.6262, 177.2003, 192.5974, 164.5844, 201.9419, 215.6673, 251.7427, 186.6142, 173.7102, 168.4761, 147.6725, 190.5404, 201.1848, 212.1083, 207.269, 186.8689, 195.3539, 181.5427, 167.4207, 180.5599, 172.7242, 177.1424, 162.7742, 171.068, 171.0317, 176.3355, 157.7141, 171.5718, 186.1756, 1.25, 286, 173.1175, 172.536, 173.0278, 191.3268, 179.7046, 174.9708, 186.0144, 167.5045, 183.7717, 167.5288, 181.0323, 170.8489, 184.7517, 172.3864, 182.2576, 168.7808, 39.11112, 259.7595, 264.9439, 208.7733, 1.25, 286, 93.32438, 232.0117,
 151.8697, 144.7516, 181.0226, 139.8719, 178.461, 190.2133, 159.8936, 189.1479, 166.7349, 204.1746, 216.2429, 246.512, 186.6142, 173.7102, 168.1636, 143.4026, 190.7201, 203.0004, 193.1998, 188.0299, 186.8689, 195.3539, 180.7603, 166.7195, 179.9632, 173.473, 169.7886, 147.6897, 170.7236, 176.1893, 175.4458, 145.9495, 168.6437, 182.0343, 1.25, 286, 167.6569, 180.4719, 173.3469, 196.4082, 184.6488, 174.4798, 185.2904, 166.9471, 183.7717, 167.5288, 181.0868, 170.7457, 185.3211, 171.621, 181.9598, 172.7531, 103.9872, 229.2516, 244.718, 198.4081, 1.25, 286, 91.94552, 228.8289,
 151.8697, 144.7516, 180.1328, 140.8431, 154.1198, 178.951, 137.8392, 186.3548, 169.8441, 201.2935, 222.985, 245.3887, 188.8307, 173.6124, 173.4164, 147.8748, 190.7201, 203.0004, 193.6777, 191.5948, 189.3815, 199.2446, 181.4144, 166.0237, 183.4738, 172.5791, 169.7886, 147.6897, 173.8041, 178.9315, 171.9485, 138.819, 166.2935, 181.3238, 1.25, 286, 166.7238, 179.8095, 179.1045, 196.9058, 187.1208, 174.2344, 185.9911, 167.6105, 181.6325, 166.9689, 173.8723, 168.8108, 178.593, 170.0753, 165.9335, 164.0562, 136.2047, 212.0914, 249.0673, 201.3878, 1.25, 286, 95.61314, 230.1574,
 157.9562, 156.0486, 181.0226, 139.8719, 133.8151, 168.8995, 130.9837, 177.272, 167.5387, 198.0754, 222.6314, 240.5706, 188.8307, 173.6124, 169.3416, 144.3415, 187.4483, 206.9908, 190.5905, 195.6373, 189.3815, 199.2446, 180.7603, 166.7195, 183.1902, 179.1412, 149.961, 149.411, 176.5463, 175.8511, 168.4513, 131.6886, 167.6493, 176.8901, 1.25, 286, 169.448, 169.3491, 179.1045, 196.9058, 186.8754, 171.7624, 188.7683, 167.3338, 181.9775, 164.8612, 145.3153, 168.8452, 171.406, 165.6293, 151.024, 157.6057, 136.0645, 206.6517, 250.694, 192.2821, 1.25, 286, 95.61314, 230.1574,
 153.7437, 146.0749, 181.9841, 140.7629, 133.2932, 168.1807, 130.3299, 174.1574, 163.3756, 199.6897, 217.6954, 239.3182, 186.0665, 173.2518, 169.9349, 144.8547, 187.628, 208.8063, 187.0258, 196.1151, 188.7839, 193.2977, 182.1736, 171.018, 187.245, 173.0802, 117.4195, 146.6264, 178.3498, 170.6388, 170.6397, 132.2902, 168.3872, 173.2418, 1.25, 286, 169.448, 169.3491, 173.7254, 192.1162, 186.8754, 171.7624, 189.4767, 167.8942, 181.3024, 159.4285, 123.3055, 166.4498, 170.6214, 164.9073, 147.4169, 153.2064, 132.1381, 216.9648, 226.4488, 192.0904, 1.25, 286, 95.61314, 230.1574,
 151.371, 137.6747, 181.9841, 140.7629, 132.5638, 171.6041, 129.5924, 177.5905, 160.0782, 203.1702, 218.1603, 240.2791, 184.9487, 174.2633, 170.4098, 144.2698, 190.7201, 203.0004, 189.8217, 198.5268, 189.024, 189.5614, 182.1736, 171.018, 195.2951, 172.0058, 104.0501, 144.352, 175.5248, 170.7135, 173.5791, 132.0557, 167.7128, 173.8964, 1.25, 286, 159.4912, 171.617, 173.7254, 192.1162, 187.9949, 171.6136, 177.7248, 162.0759, 163.3367, 155.6745, 119.8853, 171.5026, 172.3078, 166.1648, 142.3951, 150.5329, 132.1381, 216.9648, 183.8385, 160.1446, 1.25, 286, 95.61314, 230.1574,
