Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 164.3226, 139.3025, 177.73, 143.8008, 181.3905, 193.9433, 174.901, 186.7028, 160.1261, 221.6089, 220.6717, 235.8704, 248.0597, 244.2106, 120.2829, 181.1542, 206.9245, 184.871, .5, 286, 197.0714, 210.6262, 187.3483, 148.8074, 175.0555, 165.0264, 182.2136, 175.7748, 176.028, 179.4117, 167.843, 173.8463, 170.5881, 170.4449, 152.9706, 154.355, 174.6328, 170.8565, 176.9224, 208.0838, 186.7668, 177.2943, 180.1715, 171.6844, 181.7028, 162.5563, 184.7838, 184.7267, 181.5986, 156.4487, 174.2401, 168.151, 166.7047, 166.7974, 177.4028, 157.5802, 91.92639, 120.9163, 85.02995, 128.7766,
 168.3106, 136.4398, 173.224, 133.0372, 181.3905, 193.9433, 172.2562, 186.7724, 162.8548, 220.0481, 220.3181, 231.0523, 183.3748, 178.226, 171.4355, 151.2091, 196.5669, 183.2014, .5, 286, 197.0714, 210.6262, 188.6972, 150.25, 174.836, 160.6374, 180.0297, 176.511, 180.377, 179.16, 168.5273, 174.5003, 170.5881, 170.4449, 152.9706, 154.355, 174.6328, 170.8565, 176.9224, 208.0838, 186.1098, 181.028, 180.1715, 171.6844, 182.4547, 163.1247, 181.4243, 223.0653, 182.5927, 158.5403, 176.3758, 165.4682, 175.7729, 166.6104, 177.5936, 166.7429, 178.5883, 187.187, 172.7103, 155.0371,
 171.7184, 136.1406, 173.224, 133.0372, 181.3905, 193.9433, 172.1518, 182.8052, 162.8548, 220.0481, 221.3165, 232.998, 183.2681, 177.2273, 174.6939, 152.0258, 143.9553, 177.6319, .5, 286, 197.5372, 207.5051, 188.6972, 150.25, 175.8261, 167.1819, 177.8063, 175.9961, 176.028, 179.4117, 169.5354, 178.0134, 173.409, 171.7043, 152.9706, 154.355, 178.1776, 174.1363, 176.6974, 214.0501, 185.8491, 178.5681, 180.459, 174.4594, 179.7786, 163.6304, .5, 286, 186.2944, 158.9134, 180.9502, 163.4201, 166.8889, 168.567, 176.7872, 167.6788, 178.5883, 187.187, 172.0831, 155.7399,
 171.5683, 143.8529, 172.4059, 134.1032, 181.3905, 193.9433, 172.1518, 182.8052, 160.1261, 221.6089, 219.6338, 229.3196, 184.9249, 177.6333, 174.6939, 152.0258, 97.24404, 173.7116, .5, 286, 197.5931, 203.6659, 188.6972, 150.25, 175.6919, 164.2548, 177.1037, 176.6573, 173.1285, 179.5793, 163.7687, 179.8722, 173.3593, 173.0224, 176.9943, 167.2955, 178.1776, 174.1363, 176.8197, 211.7855, 186.3757, 179.3014, 180.459, 174.4594, 179.2884, 164.408, 182.0604, 286, 183.8447, 156.9799, 175.5075, 164.8242, 165.908, 167.7795, 176.6917, 164.0146, 178.5883, 187.187, 172.0831, 155.7399,
 172.1794, 160.1157, 172.4059, 134.1032, 181.3905, 193.9433, 172.1518, 182.8052, 160.1261, 221.6089, 222.2075, 228.6979, 187.2095, 176.4915, 174.2058, 152.5863, 97.40345, 175.5215, .5, 286, 198.095, 207.9434, 188.6972, 150.25, 181.9974, 157.3955, 180.6864, 177.2259, 173.1285, 179.5793, 167.8729, 175.1791, 172.1594, 174.5022, 176.0372, 170.7513, 178.3101, 177.5486, 182.1897, 211.2049, 187.0105, 179.7577, 180.8159, 170.9991, 181.9606, 163.8924, 350, 286, 180.6526, 154.3467, 172.339, 165.1411, 174.9741, 167.5457, 176.6917, 164.0146, 178.4037, 182.0922, 173.4152, 155.6995,
 174.4115, 166.8115, 176.8901, 132.7686, 181.3905, 193.9433, 172.2562, 186.7724, 164.9668, 217.0156, 221.8062, 229.3284, 183.6111, 169.9765, 170.9609, 151.774, 97.99244, 176.5177, 167.853, 242.5655, 197.688, 205.9504, 188.6972, 150.25, 182.0779, 158.8087, 186.5407, 176.9575, 173.1285, 179.5793, 172.1523, 172.0595, 172.1594, 174.5022, 179.61, 173.9734, 180.4203, 166.282, 182.1897, 211.2049, 189.474, 179.514, 180.8159, 170.9991, 183.2967, 163.6347, 162.4083, 208.9335, 187.2964, 154.3712, 177.4084, 167.8341, 174.9741, 167.5457, 176.5487, 158.5183, 176.3983, 182.7994, 179.3766, 156.1792,
 171.8099, 156.7374, 180.9922, 126.1438, 181.3905, 193.9433, 172.765, 186.0805, 168.1547, 214.1193, 210.9579, 229.4719, 178.0683, 170.2039, 169.3256, 151.3356, 98.96035, 178.7741, 215.8914, 222.2121, 195.5817, 205.3563, 189.4153, 149.584, 176.0797, 156.1751, 187.0828, 171.8895, 173.1285, 179.5793, 168.8466, 176.0284, 171.4117, 173.9059, 179.61, 173.9734, 177.738, 140.8785, 175.4068, 211.5653, 192.3031, 182.9656, 180.8159, 170.9991, 185.2128, 162.5408, 158.3076, 181.0556, 184.3707, 154.6784, 182.9983, 167.9945, 169.5345, 167.686, 182.045, 158.3751, 177.8386, 187.854, 176.7075, 154.931,
 167.6969, 148.568, 177.8768, 133.7043, 181.3905, 193.9433, 174.7618, 181.4133, 164.1797, 218.5659, 201.5366, 233.3495, 180.0626, 176.2204, 170.2159, 149.1582, 95.19801, 183.4978, 210.557, 222.8686, 195.5264, 209.1815, 188.6972, 150.25, 165.1802, 143.5202, 173.2534, 143.7793, 173.1285, 179.5793, 165.1102, 176.9995, 170.6579, 173.3052, 179.4345, 170.5759, 173.4891, 118.9364, 174.8663, 201.3912, 190.4586, 183.652, 180.8159, 170.9991, 185.2113, 162.6211, 149.7925, 184.0816, 183.3688, 159.2208, 185.5206, 168.5023, 170.3319, 166.7225, 182.045, 158.3751, 179.1125, 187.8125, 160.7435, 127.9585,
 164.6385, 142.8083, 174.6286, 139.4412, 181.3905, 193.9433, 174.1982, 180.7778, 158.8797, 224.4947, 196.3837, 228.8601, 182.2791, 176.1226, 173.4087, 148.9254, 131.4257, 180.4946, 210.557, 222.8686, 197.5186, 208.7848, 189.4153, 149.584, 156.9873, 126.3298, 159.609, 123.0386, 173.1285, 179.5793, 165.1102, 176.9995, 170.6579, 173.3052, 179.4345, 170.5759, 171.3318, 107.1163, 164.0724, 172.27, 189.9302, 181.8669, 180.8159, 170.9991, 182.1946, 165.3119, 147.6263, 184.8924, 186.6018, 161.8391, 182.8799, 175.0615, 170.3319, 166.7225, 169.008, 179.8409, 164.2675, 162.7892, 145.9462, 101.08,
 161.6763, 138.8708, 174.2296, 133.9703, 181.3905, 193.9433, 172.3686, 185.3326, 151.8617, 224.8877, 189.9373, 222.0958, 184.4956, 176.0247, 162.7113, 163.6146, 180.1328, 184.8432, 210.557, 222.8686, 194.9591, 208.7476, 189.4153, 149.584, 156.9873, 126.3298, 157.743, 128.4009, 173.1285, 179.5793, 165.6816, 176.1706, 171.2352, 171.1202, 178.9451, 183.0916, 172.3595, 106.2028, 161.1004, 150.336, 192.3902, 181.6062, 180.8159, 170.9991, 182.1946, 165.3119, 149.2173, 186.398, 187.0681, 159.6129, 172.3557, 180.8612, 170.3319, 166.7225, 160.9663, 193.7574, 145.9892, 132.2522, 145.9462, 101.08,
