Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 212.4701, 195.1113, 74.07759, 254.181, 172.9222, 187.5568, 152.2559, 174.0701, 160.7547, 204.9626, 222.0969, 227.0908, 184.8828, 176.2586, 164.9611, 201.2771, 306.2437, 209.7764, 329.4848, 286, 186.519, 195.7574, 190.8199, 161.2365, 181.0323, 170.6257, 183.5849, 129.2247, 195.8683, 143.4033, 178.9955, 167.2271, 173.3514, 168.8552, .5, 83.52698, 182.0319, 180.9474, 184.0578, 188.0504, 175.2064, 161.0246, 188.3108, 168.1793, 186.6309, 163.9772, 180.2617, 173.6611, 192.4819, 161.3319, 178.5173, 162.9233, 176.7089, 162, 184.5436, 150.1366, 177.4623, 120.909, 174.8573, 162.3044,
 189.8599, 113.0257, 71.95345, 250.6914, 173.0274, 191.5389, 150.4002, 181.4937, 159.0923, 208.6698, 225.145, 233.1791, 186.4189, 171.4601, 165.019, 187.4062, .5, 253.5799, 329.4848, 286, 186.519, 195.7574, 187.2531, 161.873, 180.418, 171.3714, 182.9595, 132.9298, 172.5245, 170.9531, 189.7957, 164.4073, 175.4593, 170.7768, 28.85784, .5, 187.6496, 174.7417, 182.0286, 199.2639, 172.0517, 160.752, 189.041, 175.1715, 182.5645, 164.6872, 183.2472, 174.8054, 192.4819, 161.3319, 178.5173, 162.9233, 163.0217, 156.1761, 193.6605, 149.9949, 177.4623, 120.909, 173.4035, 157.004,
 179.8057, 94.83394, 78.23833, 255.2981, 175.6822, 191.4688, 146.3988, 180.5204, 159.6009, 209.273, 221.9435, 233.3837, 187.0104, 174.2339, 159.2603, 187.3462, 350, 286, 331.2802, 286, 186.519, 195.7574, 188.6014, 161.8829, 178.197, 170.8257, 182.9595, 132.9298, 169.6117, 171.1102, 183.8948, 164.7048, 174.8211, 170.09, .5, .5, 179.0773, 175.0763, 178.3219, 194.3952, 172.743, 161.2683, 192.5679, 181.8714, 184.3934, 167.1615, 184.8097, 176.0891, 191.7556, 162.0982, 178.5173, 162.9233, 163.8229, 155.2705, 197.3074, 149.9383, 177.4623, 120.909, 173.2824, 151.6735,
 179.8057, 94.83394, 80.61447, 257.3575, 176.223, 186.9439, 142.3482, 177.7658, 160.2287, 204.3558, 226.1405, 232.6882, 187.0104, 174.2339, 164.3555, 189.6659, 231.6936, 200.0139, 338.0914, 286, 188.8586, 196.9269, 187.935, 161.201, 175.9366, 171.6606, 182.1052, 132.2165, 175.4372, 170.7959, 176.5929, 166.552, 174.8591, 168.7594, .5, .5, 177.0953, 168.2854, 180.9649, 182.3259, 174.9878, 158.5961, 191.8379, 174.8794, 185.1472, 167.6592, 185.7739, 171.8072, 189.6811, 162.9946, 178.5173, 162.9233, 163.9537, 158.8947, 193.6605, 149.9949, 175.3326, 185.5197, 173.2824, 151.6735,
 186.43, 113.2946, 132.8763, 204.1333, 172.2596, 182.944, 142.4675, 181.7322, 161.3661, 204.4365, 232.9415, 212.8753, 187.0104, 174.2339, 174.4298, 190.4636, 225.7584, 193.0515, 324.0432, 286, 187.799, 195.7667, 190.8199, 161.2365, 175.752, 167.2499, 187.5675, 135.7403, 179.8062, 170.5603, 178.2914, 170.9034, 176.2776, 168.7251, .5, .5, 188.1181, 186.743, 189.7449, 159.6682, 179.4679, 160.0156, 189.4633, 172.9158, 182.5645, 164.6872, 186.8647, 160.8413, 199.6545, 152.4277, 178.5173, 162.9233, 167.5779, 158.7639, 184.5436, 150.1366, 180.1389, 194.783, 177.2803, 151.5827,
 186.1946, 132.2936, 210.3249, 125.5373, 178.6548, 174.7812, 149.2372, 186.8218, 159.6009, 209.273, 232.6313, 192.4577, 185.5397, 177.0306, 174.9564, 188.8307, 222.3343, 196.9322, 264.4389, 243.3275, 187.799, 195.7667, 190.15, 160.4541, 170.4784, 163.7322, 208.8465, 124.3386, 175.2015, 166.4269, 177.7611, 173.1465, 173.4405, 168.7938, .5, 19.41806, .5, 286, 196.0864, 125.2602, 179.4679, 160.0156, 189.7531, 175.7017, 183.075, 163.9227, 192.7092, 131.418, 211.5027, 137.922, 178.5173, 162.9233, 146.8265, 163.892, 179.9656, 149.2819, 179.9544, 189.6882, 178.1106, 157.5605,
 182.0923, 123.9878, 220.3078, 111.8527, 194.9455, 142.4101, 173.6017, 160.9462, 161.0093, 209.1882, 229.991, 192.074, 185.8736, 170.9942, 175.1962, 185.1843, 218.9102, 200.8129, 214.064, 208.1455, 190.3589, 195.7853, 190.1618, 159.0116, 179.1785, 143.5417, 225.6821, 110.2266, 175.2015, 166.4269, 176.8252, 169.5813, 171.3519, 169.4765, .5, 19.41806, 196.2667, 286, 192.6769, 114.3467, 179.8361, 163.7237, 189.4633, 172.9158, 182.3278, 163.3317, 199.5682, 118.7929, 211.9373, 135.5139, 178.5173, 162.9233, 135.4625, 166.5813, 183.6118, 149.2063, 176.2855, 176.5251, 193.5289, 130.4718,
 176.8841, 63.13971, 219.2511, 112.6374, 206.1681, 118.162, 196.6444, 135.1103, 170.2691, 189.518, 226.3619, 185.8483, 197.8517, 140.4876, 177.423, 189.289, 215.9714, 202.1149, 217.6547, 207.7753, 187.799, 195.7667, 190.1618, 159.0116, 196.3446, 115.721, 225.6821, 110.2266, 176.1259, 170.1108, 176.0434, 168.9605, 180.9353, 156.5226, 1.332358, .5, 350, 286, 192.6769, 114.3467, 181.3176, 166.0731, 189.0286, 168.737, 181.9179, 157.0903, 201.9873, 120.6098, 212.3762, 131.918, 181.5272, 161.0223, 159.4881, 161.5362, 203.7266, 143.4196, 176.0995, 171.4118, 203.0274, 91.56653,
 162.6562, 8.178833, 219.7109, 118.1276, 206.1681, 118.162, 201.9328, 134.9512, 187.4001, 167.35, 224.0309, 174.6953, 208.9828, 116.7523, 179.917, 179.478, 216.0762, 203.9422, 214.064, 208.1455, 185.7202, 195.1424, 187.9705, 158.3163, 202.6961, 107.2104, 226.053, 110.2431, 173.201, 170.2694, 186.7108, 146.0001, 192.6479, 141.3613, 9.373077, .5, 227.3673, 79.36676, 192.6769, 114.3467, 179.8361, 163.7237, 189.4633, 172.9158, 190.0794, 120.311, 204.0999, 121.2594, 210.3843, 132.7849, 190.8738, 142.4877, 177.4743, 157.5008, 216.4996, 139.5534, 188.3076, 156.9039, 200.6396, 90.15741,
 166.8932, 18.19958, 223.1639, 101.0688, 205.422, 118.9666, 207.2213, 134.7923, 189.5366, 166.4737, 220.0549, 173.9469, 208.9828, 116.7523, 190.2142, 152.5072, 215.4861, 204.6936, 214.064, 208.1455, 190.2863, 182.9135, 187.3004, 156.1029, 201.2258, 107.2719, 210.4604, 110.4561, 190.5142, 152.4556, 197.9997, 122.3776, 199.0551, 140.5846, 1.25, 286, 233.4237, 52.21222, 192.6769, 114.3467, 191.4205, 155.0169, 188.749, 172.3746, 206.3825, 85.09987, 202.9022, 114.7567, 213.1758, 131.017, 198.9529, 127.2797, 186.3134, 149.9697, 217.2796, 144.1563, 198.6326, 116.7886, 200.6396, 90.15741,
