Screen position for video for 15 participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
180.4139,167.325,350,238.5044,182.1766,177.977,172.1739,182.4576,161.8738,201.5463,172.6382,197.4142,193.2538,175.4787,174.2304,193.1546,205.8396,191.6288,239.9895,195.3518,201.6523,193.2399,179.5907,183.4687,179.2016,174.4532,164.0431,213.0471,180.9118,182.8108,177.8219,187.6652,142.892,116.1594,96.82248,126.1953,350,286,183.3704,174.4339,173.8356,166.8627,187.0173,187.1721,187.7497,162.385,177.2471,171.3413,196.77,160.935,182.3098,167.298,189.2463,158.1058,318.8596,192.7749,175.245,169.5786,211.6867,81.46738
180.4139,167.325,350,233.6073,175.5427,178.2023,172.1739,182.4576,162.3201,200.7472,172.6382,197.4142,193.3657,178.9245,174.2304,193.1546,197.1494,197.2041,271.2185,200.2426,201.6523,193.2399,176.7062,183.4213,179.0452,173.0914,0.5,286,177.2561,182.3825,177.5962,186.3348,186.3271,161.9438,96.82248,126.1953,350,286,184.5312,180.3311,175.3516,163.5787,187.7207,181.6287,187.7497,162.385,176.9373,169.9161,197.5341,161.6859,182.3098,167.298,183.8066,158.246,313.3221,189.1659,175.395,174.7129,167.9864,155.7798
185.5796,166.8923,350,225.907,174.061,177.0133,173.5518,179.4107,160.6925,206.9919,173.2803,198.1562,193.5463,183.3448,174.6796,186.8222,169.0974,203.2888,266.513,203.1136,201.6523,193.2399,176.7062,183.4213,178.9386,173.0078,0.5,286,179.9715,177.8768,173.7247,181.0204,187.5191,161.8173,188.9496,160.4384,184.7751,194.4901,180.7803,175.5015,174.8996,165.554,187.4177,178.8342,188.1586,156.7262,174.1418,170.1125,193.981,162.6836,183.3549,162.4673,180.1802,158.3394,312.1322,190.3146,174.6952,170.2463,171.2961,155.0659
183.7399,166.9959,350,222.8061,176.1377,176.2879,173.6172,183.5671,160.6925,206.9919,170.0661,198.3773,192.9627,183.8166,176.2705,188.0733,145.5723,204.5014,271.6156,206.6533,201.6523,193.2399,177.4377,182.8456,178.754,168.5971,88.35384,286,182.7536,174.8286,173.7247,181.0204,187.5937,161.8136,188.9496,160.4384,183.7236,142.9673,174.9186,175.0872,171.3073,167.0249,187.1147,176.0398,188.6319,159.4373,172.6127,170.3271,196.2956,163.1194,184.196,163.1238,183.8066,158.246,322.2063,196.0909,174.5688,166.3965,171.2961,155.0659
157.3295,170.0278,337.1973,201.6229,177.506,177.3692,172.8984,183.0144,154.8004,203.1686,166.8519,198.5985,193.7501,176.0603,177.2307,193.9847,143.576,200.9755,272.93,205.912,201.6523,193.2399,177.4377,182.8456,179.0986,159.0463,186.04,218.0733,179.4656,180.0816,174.8755,175.2024,188.2154,162.3085,188.9496,160.4384,179.4133,142.3687,175.4411,181.8488,171.079,164.5495,186.8117,173.2453,186.3943,162.6217,171.2726,170.396,197.0532,163.8656,183.546,163.9632,180.1802,158.3394,312.7832,200.3823,174.6952,170.2463,168.6101,155.1172
131.7685,173.8833,253.4476,153.0966,181.4713,177.235,172.0187,172.6823,148.3647,212.0542,170.3978,203.1985,193.6155,172.7555,178.2918,193.9075,145.7588,208.1207,267.804,202.363,201.6523,193.2399,180.3341,182.8933,177.29,165.7124,199.8946,147.8081,177.3227,183.8401,174.8755,175.2024,188.2154,162.3085,188.9496,160.4384,179.4133,142.3687,176.0732,180.944,173.8356,166.8627,187.5692,180.2314,183.4466,161.7394,175.5763,169.9709,197.0532,163.8656,181.4474,159.3922,180.8773,150.1752,299.8099,191.4183,177.8122,169.5037,170.6621,155.7288
126.0565,167.4573,199.9253,133.5194,171.5173,177.0107,171.3536,173.2998,151.4536,216.0681,171.6142,220.8763,189.9498,175.6237,174.1547,188.2267,142.3261,211.9265,267.3087,201.7703,201.6523,193.2399,180.3341,182.8933,177.2896,167.1149,197.3067,122.1113,182.9531,179.2013,174.4223,180.3639,186.5807,158.9353,188.9496,160.4384,179.4133,142.3687,175.2873,181.6992,173.3369,167.5509,188.2485,179.5688,182.7366,157.673,179.8203,169.6421,194.1226,164.1489,185.2822,158.2103,180.8773,150.1752,229.7764,202.9635,177.1353,166.3122,172.6139,152.3634
123.1581,166.9178,198.5505,139.1931,146.4438,181.8472,170.1081,174.6426,151.1678,211.8636,171.6142,220.8763,189.9498,175.6237,173.3531,184.6667,145.6655,206.3111,262.4344,202.8586,201.6523,193.2399,177.4377,182.8456,177.2223,167.1884,196.6394,113.2877,185.6021,173.2381,173.0683,180.3285,180.9839,163.1266,172.1992,165.969,181.7832,154.3193,176.0732,180.944,173.0898,165.0702,187.4849,172.5551,181.2089,164.9239,177.9523,171.9985,192.0748,166.6276,191.4476,155.9656,172.2544,166.6242,154.6868,211.2201,177.1353,166.3122,170.6113,153.053
119.7143,167.2061,203.0042,148.0813,135.8297,182.2077,170.1354,176.0278,129.1391,218.0492,171.2825,216.0551,192.2974,178.831,175.7067,187.6956,142.2329,210.1169,220.8638,214.4895,201.6523,193.2399,176.8566,182.1134,175.8207,167.3244,185.6534,124.4716,183.4738,172.5791,153.929,188.9869,155.5983,174.1732,144.6882,174.6367,181.7832,154.3193,175.9217,180.8009,173.0459,165.0071,188.0285,171.8297,178.9713,168.1082,147.898,192.1393,194.1226,164.1489,177.8652,163.7857,166.2818,182.2852,155.8635,209.1394,162.977,165.4926,136.5057,162.4474
117.2714,158.7408,207.5564,146.9311,137.0213,178.1823,167.392,177.4676,107.6448,227.6891,168.0683,216.2763,189.9498,175.6237,156.1254,193.5144,138.6136,210.3034,165.2086,220.5602,201.6523,193.2399,176.8566,182.1134,158.8156,165.9693,164.9293,143.7869,186.3878,172.434,128.956,197.8578,130.3745,179.9388,132.0565,176.1844,176.6216,154.5976,157.3903,182.0483,173.0459,165.0071,188.8875,172.4023,159.8222,178.4358,117.0071,207.6238,177.5577,167.9669,153.742,177.7395,162.8424,189.6317,177.8229,205.244,129.485,162.7387,104.4269,171.1206
116.2705,167.4946,205.2792,141.5529,137.9862,182.6762,144.5875,188.1817,103.541,224.1413,166.2402,213.1727,189.9498,175.6237,122.5367,200.4274,139.0096,204.2106,156.3126,221.4225,201.6523,193.2399,179.1664,181.4097,128.9572,171.0847,154.8261,155.6208,167.6649,177.748,126.4704,197.4472,129.9948,176.3628,131.2714,173.2902,173.9229,168.5471,126.0467,185.1719,173.2827,167.481,185.4146,173.3968,138.4353,191.9478,110.2212,207.2939,151.4895,173.3482,148.0312,184.5047,157.4027,189.7718,177.8229,205.244,110.162,153.3296,104.046,171.7178
116.7702,166.6666,205.4245,143.3942,137.4719,191.45,118.6951,186.654,102.8717,220.3561,165.3152,207.6397,188.5563,183.9961,103.5387,202.9909,135.3717,204.3991,153.4721,221.1617,201.6523,193.2399,179.7533,182.1492,113.0832,168.2752,149.1977,150.8926,143.1865,184.8092,127.4627,197.9404,130.1204,175.2198,126.4133,171.5601,169.9673,173.1097,111.555,189.6799,173.2827,167.481,180.4712,173.3187,133.3826,191.9575,103.7254,209.4164,130.2155,176.2407,141.7004,185.1666,153.6828,186.2388,177.8611,208.9103,108.5118,143.1496,103.4193,170.0028
116.2705,167.4946,198.3956,137.3536,137.8754,187.967,118.176,183.0543,103.3213,220.7354,165.3152,207.6397,179.1804,183.932,103.0376,196.6304,135.3717,204.3991,146.4537,218.0455,201.6523,193.2399,176.1298,182.6952,115.5878,168.8104,149.1977,150.8926,137.2136,182.1854,125.4737,189.0632,126.927,175.0525,120.2707,168.825,164.5052,168.2547,111.555,189.6799,158.3292,167.7937,182.1185,169.6106,129.829,190.6569,104.096,208.899,127.2849,176.524,135.3696,185.8284,153.6828,186.2388,171.6225,200.7546,109.2368,138.6852,102.0205,167.3579
116.5882,168.8116,195.0069,119.1126,127.0984,182.9791,116.7436,186.2284,107.1484,220.9125,142.1236,199.6538,154.7931,193.3016,103.4513,196.9075,134.7145,205.0611,143.6602,213.0921,201.6523,193.2399,175.4083,182.0956,118.6735,171.601,149.1977,150.8926,136.6826,182.807,117.5116,180.5164,122.9972,175.9978,120.2707,168.825,167.5396,161.1741,114.9222,189.4371,132.4008,184.1566,181.1728,167.5111,131.5947,189.8071,107.6357,210.9721,130.2155,176.2407,134.6731,185.2947,144.71,190.099,167.9566,200.8119,107.954,127.8099,101.929,163.3448
119.2021,168.0285,195.917,107.9202,116.4817,183.2996,116.2786,189.9568,106.8792,216.7057,117.8126,191.1302,135.1017,198.5962,105.1562,200.2932,134.7145,205.0611,142.017,208.5587,156.3092,224.0693,157.9389,189.1227,115.3647,173.8777,143.7728,147.746,140.1275,182.0404,107.4749,180.4512,120.6228,176.257,108.8242,170.2228,167.1351,154.296,111.9193,194.7306,119.6508,189.6065,177.6123,167.2443,133.8135,186.2967,109.8342,208.3322,125.9304,175.6071,137.2832,188.8284,119.1846,185.3136,158.2374,205.6461,105.1649,121.5113,98.27038,162.8068
110.063,161.8881,201.9004,112.9742,117.3871,183.8098,114.0446,190.4556,101.1804,215.6624,115.2404,191.8451,134.5071,194.6086,104.9247,197.11,132.8116,203.3448,137.9473,210.0385,152.5112,220.2157,134.6581,197.5266,112.4387,174.0239,143.5882,152.926,139.9099,177.6694,100.1433,183.867,120.3635,173.8827,93.80404,170.8952,167.9265,153.341,108.5522,194.9734,118.5161,187.2874,177.6123,167.2443,130.2341,190.0456,107.4857,209.0013,120.079,176.2217,130.9524,189.4902,102.6786,178.4812,92.69382,194.6545,103.1964,116.8335,96.92759,162.8375
88.50031,130.9007,181.8923,128.6673,117.3871,183.8098,115.4051,183.0979,96.50846,215.5804,114.114,192.0214,130.1501,195.9033,102.7556,200.8478,128.0959,204.7761,132.5829,210.5612,150.0161,212.5454,128.8826,196.0068,113.1599,175.9208,141.425,153.6845,135.9126,172.585,101.2504,184.4117,120.71,173.3229,91.51474,171.1747,168.6687,167.1049,111.555,189.6799,116.044,187.5329,177.9067,170.0521,350,0.5,106.9643,208.0884,121.6317,175.7179,116.2117,186.2313,102.6786,178.4812,0.5,183.3995,101.5411,105.3677,98.27038,162.8068
79.73161,111.9855,137.8248,122.0753,114.2386,184.803,117.6307,183.9906,97.62408,211.2805,114.5859,191.3681,127.9475,195.9999,99.45004,200.4106,120.2375,205.8073,136.6473,209.0543,130.9164,204.3908,128.351,195.4772,112.5118,175.4868,135.6773,155.5903,130.9504,173.7337,100.7127,185.5161,121.524,176.0565,91.74724,170.6328,165.2277,167.2905,106.5044,190.0442,113.572,187.7783,177.2076,169.4158,350,0.5,94.21342,196.838,124.4675,175.7607,110.5569,187.3193,102.6786,178.4812,19.3211,192.1343,97.05256,99.46301,91.4026,156.2465
81.38263,123.5985,118.2603,118.7808,129.6281,209.4252,117.7125,188.1464,96.28265,206.6695,115.2404,191.8451,127.7542,191.5946,98.7972,196.9645,118.2413,202.2814,136.6473,209.0543,106.7853,194.3771,128.351,195.4772,113.0258,172.9936,134.7144,154.946,132.1138,178.6699,100.4459,181.0383,121.2709,173.6725,89.45059,170.9142,164.8566,160.4084,98.13703,184.891,113.2038,184.0702,174.4022,169.7214,0.5,271.9275,81.8952,192.8095,122.889,176.9488,110.988,186.6416,93.70597,182.3413,40.7641,198.9268,92.20597,97.49208,81.84918,149.7478
81.38263,123.5985,117.7442,125.6189,151.7918,227.7675,117.6307,183.9906,95.65074,202.9668,113.1552,192.6051,119.2441,189.0277,95.61694,197.215,118.2413,202.2814,130.6741,210.2008,101.2121,192.6991,124.5376,195.9531,112.4387,174.0239,122.9634,146.4494,132.9975,172.718,103.9066,178.2733,120.2692,170.57,86.00561,171.3362,164.5052,168.2547,95.47053,181.2281,115.7986,185.0608,172.3849,170.5687,27.92971,286,76.43189,192.7999,117.9723,178.4124,104.1133,188.4698,93.70597,182.3413,40.64957,193.4292,88.83669,98.55556,81.20365,150.8008
