Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 151.3914, 150.5526, 330.2455, 186.7607, 171.5927, 159.043, 185.992, 181.7384, 155.9147, 203.2193, 181.2051, 195.9962, 199.8991, 163.7852, 165.5829, 158.0084, 203.7107, 219.9217, 267.0736, 207.4038, 178.2481, 188.5181, 176.5856, 146.6176, 179.5177, 166.2699, 183.3138, 173.3836, 172.4178, 172.3792, 175.7298, 161.533, 208.4609, 156.2776, 47.76368, 160.4067, 197.2444, 138.8746, 173.2478, 192.6697, 177.4332, 158.3741, 182.0364, 178.9029, 182.5576, 162.8115, 177.1944, 172.6159, 181.9451, 169.0429, 175.786, 159.203, 240.8403, 154.3822, 223.5366, 193.7678, 66.9373, 156.0401, 174.6259, 152.9971,
 155.7342, 150.9693, 323.1789, 165.276, 170.1749, 157.8245, 188.1895, 182.3489, 155.9147, 203.2193, 183.956, 201.2245, 200.0243, 167.1012, 171.3464, 184.7262, 203.7107, 219.9217, 266.3446, 206.1079, 178.0447, 183.4209, 175.8679, 145.8635, 179.5177, 166.2699, 184.7793, 173.2793, 173.6656, 166.5625, 171.2733, 161.8163, 206.3918, 153.3725, 47.76368, 160.4067, 191.4447, 143.4094, 173.2478, 192.6697, 176.8731, 159.0251, 182.1185, 178.7606, 183.7033, 166.09, 177.4639, 175.4757, 181.8095, 167.5764, 177.8652, 163.7857, 278.7021, 179.3878, 221.6462, 188.2875, 176.4933, 145.773, 173.2216, 150.3422,
 156.239, 157.8342, 322.78, 159.8051, 170.3317, 163.0777, 190.9384, 182.2951, 156.186, 207.4429, 180.866, 203.0434, 196.8751, 171.6478, 169.7054, 184.4216, 167.7077, 226.8497, 266.3446, 206.1079, 178.1808, 182.2602, 175.8679, 145.8635, 180.2282, 165.565, 185.5009, 172.585, 181.7267, 166.8237, 174.6473, 156.4076, 207.817, 155.6342, 189.9514, 169.6938, 188.0223, 143.6097, 173.2478, 192.6697, 174.4009, 159.2705, 182.784, 178.1015, 183.7033, 166.09, 177.4639, 175.4757, 180.3382, 166.2074, 182.9441, 166.4547, 323.0456, 204.2758, 221.6462, 188.2875, 180.2464, 141.8231, 172.5167, 149.6845,
 154.9557, 151.9986, 326.4273, 159.5391, 172.9857, 162.9976, 188.1895, 182.3489, 159.3308, 202.5028, 181.1716, 199.0222, 194.6644, 171.7311, 171.8265, 184.2608, 85.59859, 227.9864, 267.6425, 205.3682, 181.5203, 179.0811, 174.3176, 153.1109, 179.5177, 166.2699, 182.2425, 168.3808, 181.9443, 171.1947, 179.9779, 158.3257, 207.817, 155.6342, 190.5087, 169.1107, 188.0223, 143.6097, 190.736, 196.2854, 171.9289, 159.5159, 182.784, 178.1015, 184.9526, 164.6288, 178.0124, 174.7058, 178.4976, 170.0076, 182.9441, 166.4547, 325.0141, 216.2973, 223.5366, 193.7678, 177.81, 147.024, 172.5477, 151.0324,
 156.1327, 145.0043, 326.0284, 154.0682, 172.3935, 163.6979, 188.1895, 182.3489, 159.8668, 198.7244, 191.083, 203.2104, 192.9753, 172.2791, 171.8265, 184.2608, 32.21883, 223.0454, 267.6425, 205.3682, 181.4832, 184.2008, 172.8051, 157.3902, 179.5177, 166.2699, 178.8792, 162.705, 174.6596, 171.5574, 180.2447, 162.8034, 206.3918, 153.3725, 190.1089, 165.6604, 190.6018, 142.5626, 216.237, 212.9341, 171.5607, 155.8078, 182.784, 178.1015, 184.9526, 164.6288, 175.8044, 174.2822, 178.1458, 167.1718, 177.8652, 163.7857, 325.5282, 236.2428, 218.7449, 194.5039, 174.0568, 150.9738, 173.9309, 152.3286,
 165.2454, 151.1915, 322.78, 159.8051, 173.0259, 164.3246, 190.9384, 182.2951, 154.5526, 202.193, 200.3923, 206.5279, 190.243, 171.898, 171.7321, 184.1486, 29.052, 221.5375, 271.2404, 205.0344, 181.4551, 188.0406, 175.7122, 157.4739, 179.5177, 166.2699, 181.8221, 162.4948, 170.2891, 173.1118, 178.8206, 164.2669, 207.817, 155.6342, 190.1089, 165.6604, 192.7259, 149.3396, 225.2054, 217.2978, 170.0792, 153.4584, 182.784, 178.1015, 186.05, 162.9611, 176.5815, 174.8349, 178.1458, 167.1718, 181.2642, 166.5743, 325.5282, 236.2428, 215.0976, 194.5417, 176.0414, 152.8547, 173.9309, 152.3286,
 198.69, 171.9677, 286.5353, 140.4479, 177.6873, 164.7932, 191.6709, 181.7163, 156.9607, 197.4975, 208.6143, 211.2083, 190.243, 171.898, 171.7321, 184.1486, 78.10447, 222.8908, 271.2404, 205.0344, 182.074, 188.5458, 179.3865, 152.458, 181.6235, 164.0221, 185.5151, 162.9174, 173.2026, 171.6299, 179.5298, 163.5384, 208.4609, 156.2776, 190.1089, 165.6604, 198.1632, 155.9962, 224.7566, 212.186, 174.0329, 155.5624, 182.2612, 178.8415, 186.0465, 163.0473, 176.5815, 174.8349, 177.0395, 170.1541, 182.0024, 165.7747, 269.055, 202.7901, 210.7047, 193.9015, 177.3249, 152.8172, 173.9309, 152.3286,
 228.749, 181.8358, 243.7558, 106.9006, 185.0341, 165.2047, 189.5639, 182.322, 175.5341, 200.545, 212.8451, 209.9659, 194.6226, 170.6259, 173.4612, 184.5663, 174.4829, 227.4918, 271.9814, 206.3612, 180.1753, 188.0313, 176.4901, 152.4103, 184.5618, 163.8745, 199.1495, 168.0046, 173.2026, 171.6299, 180.2447, 162.8034, 205.218, 154.7701, 190.7006, 166.1221, 225.7607, 172.3079, 224.5781, 216.2635, 176.8731, 159.0251, 185.7325, 179.2355, 184.754, 163.2495, 179.4434, 174.5769, 176.2975, 170.9608, 180.1015, 162.7649, 212.2574, 163.9338, 210.7047, 193.9015, 179.5923, 142.4736, 173.9309, 152.3286,
 228.749, 181.8358, 231.8831, 94.93306, 202.2175, 164.6233, 186.815, 182.3756, 192.9709, 207.9065, 211.2622, 200.9615, 196.8333, 170.5425, 176.2489, 184.8906, 219.8303, 227.2025, 276.9084, 214.6081, 181.3321, 185.3668, 176.4901, 152.4103, 187.508, 163.6277, 218.7847, 174.0796, 168.8316, 171.8476, 181.0161, 163.4503, 204.6894, 155.3257, 216.365, 168.0626, 246.8408, 189.2937, 227.841, 220.007, 174.4009, 159.2705, 185.7325, 179.2355, 184.3259, 165.3626, 210.1681, 176.3484, 178.2874, 168.6371, 205.7648, 179.3985, 218.258, 157.358, 209.9985, 192.8216, 180.7648, 134.7569, 173.9309, 152.3286,
 230.0866, 176.561, 234.2387, 102.0946, 215.7038, 172.1068, 200.6838, 185.9986, 192.9709, 207.9065, 210.9335, 196.1621, 196.8333, 170.5425, 178.7483, 184.167, 219.8303, 227.2025, 274.7287, 217.007, 183.8963, 184.1193, 173.5223, 156.7071, 204.2426, 160.4087, 224.6741, 173.6836, 187.6374, 181.9973, 202.7941, 178.5652, 205.4218, 154.5885, 242.2482, 171.0522, 241.6822, 189.5971, 227.841, 220.007, 175.8824, 161.6199, 182.784, 178.1015, 195.516, 165.16, 234.8533, 181.1218, 196.1413, 169.7085, 223.6295, 197.9843, 216.5381, 161.0312, 214.228, 182.5042, 196.7722, 134.9776, 191.4158, 153.3385,
