Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 174.9911, 154.7298, 193.1232, 60.09323, 129.0219, 230.6186, 178.9388, 166.6529, 156.7946, 198.371, 177.4583, 191.223, 198.4498, 159.2606, 183.4572, 190.192, 348.2267, 248.4365, 255.5421, 205.6838, 182.5155, 184.2466, 174.0345, 170.394, 183.9451, 168.9319, 180.771, 168.4858, 186.586, 179.6438, 176.3894, 173.5183, 138.9474, 166.674, 130.1158, 142.4746, 175.5712, 182.9644, 350, 286, 170.8954, 169.0913, 207.6717, 149.3123, 93.88072, 244.2785, 196.5392, 163.5792, 177.4758, 167.9019, 181.8985, 164.313, 184.3925, 144.6594, 190.6656, 191.9897, 100.1895, 125.8829, 234.0521, 241.6301,
 174.9911, 154.7298, 198.5898, 59.66617, 124.783, 253.7227, 183.0462, 166.5731, 155.9827, 197.905, 180.8734, 191.175, 197.683, 155.4375, 184.9151, 213.9863, 350, 244.515, 257.1557, 208.5396, 183.9103, 182.8441, 176.919, 170.4413, 186.9059, 167.3672, 183.3138, 173.3836, 181.296, 174.8952, 178.4155, 182.3848, 182.6901, 168.7256, 130.1158, 142.4746, 174.9434, 187.4724, 219.8775, 137.0632, 168.4043, 169.3315, 207.6717, 149.3123, 195.1168, 168.7918, 193.3779, 153.1237, 176.1571, 169.5016, 182.3824, 169.1082, 183.5569, 147.4308, 190.6656, 191.9897, 178.6269, 154.055, 139.7827, 286,
 174.9911, 154.7298, 193.1232, 60.09323, 129.8269, 254.4109, 185.0477, 167.2492, 159.0257, 201.9586, 187.3016, 190.7327, 197.683, 155.4375, 184.7938, 239.5185, 350, 240.8176, 254.7876, 204.4547, 183.9103, 182.8441, 174.129, 164.6251, 186.9059, 167.3672, 183.0013, 168.9874, 179.639, 170.5891, 174.8191, 184.6992, 184.6864, 164.9557, 178.7768, 169.1224, 181.0809, 193.1995, 210.4601, 127.5877, 168.4043, 169.3315, 207.6717, 149.3123, 192.7204, 151.0792, 193.4503, 153.0623, 176.1571, 169.5016, 182.4778, 170.5272, 182.7284, 151.9514, 190.6656, 191.9897, 178.6269, 154.055, 7.792351, 286,
 174.9911, 154.7298, 189.0234, 58.60355, 128.2368, 246.5249, 180.9397, 167.3131, 155.3966, 198.449, 183.2985, 191.6257, 197.355, 159.305, 187.2229, 209.9027, 350, 237.3443, 254.987, 200.2978, 186.4606, 182.8718, 171.2446, 164.5778, 184.053, 168.9765, 182.2425, 168.3808, 179.639, 170.5891, 174.8191, 184.6992, 187.0405, 164.7172, 178.7276, 169.1949, 181.0809, 193.1995, 202.34, 135.1203, 170.1455, 168.5097, 208.4583, 150.0685, 193.9204, 149.5299, 190.9866, 157.6412, 176.0166, 168.0423, 182.0024, 165.7747, 179.0262, 148.3989, 190.7223, 195.6364, 178.6269, 154.055, 21.65432, 286,
 174.9911, 154.7298, 186.0607, 56.8765, 147.7761, 214.5244, 180.9397, 167.3131, 153.7646, 194.3328, 179.8317, 190.4512, 197.355, 159.305, 187.8259, 176.9881, 350, 230.2466, 254.1312, 204.6417, 186.4606, 182.8718, 174.129, 164.6251, 182.59, 169.0496, 181.0864, 172.9004, 177.6251, 174.4328, 174.2696, 185.4903, 202.3428, 163.1663, 176.2427, 167.0967, 175.5712, 182.9644, 203.79, 141.096, 171.8554, 166.4075, 208.4583, 150.0685, 195.6155, 145.8049, 190.2805, 158.3988, 176.6053, 167.2465, 180.8358, 161.9446, 175.3989, 148.4738, 190.8074, 201.1066, 178.6269, 154.055, 85.53313, 286,
 174.9911, 154.7298, 186.0607, 56.8765, 172.2634, 178.8698, 178.2011, 167.3558, 155.6304, 202.6431, 180.6599, 191.0183, 199.0439, 158.7146, 182.0093, 176.994, 308.8825, 230.3289, 257.5226, 207.2941, 183.9103, 182.8441, 177.0136, 164.6724, 182.59, 169.0496, 181.5358, 169.0916, 177.6251, 174.4328, 173.4729, 184.9421, 221.0571, 160.0804, 176.7534, 166.5161, 183.2675, 181.8471, 203.79, 141.096, 169.3713, 166.6373, 207.8132, 150.7174, 198.4459, 146.7759, 193.1403, 158.1292, 179.5262, 166.9778, 180.8358, 161.9446, 179.0262, 148.3989, 186.5305, 202.0369, 178.6269, 154.055, 123.6363, 286,
 174.9911, 154.7298, 187.4006, 55.89075, 174.1428, 175.4034, 178.8824, 166.7244, 161.2226, 202.3312, 177.4583, 191.223, 198.8655, 154.3219, 179.8955, 177.16, 263.1991, 223.3761, 260.5775, 206.3611, 183.9103, 182.8441, 176.919, 170.4413, 182.59, 169.0496, 184.0497, 163.0215, 173.8753, 172.3128, 187.4598, 183.3439, 224.3499, 157.3683, 177.2104, 165.8858, 182.9144, 187.8776, 202.965, 141.8976, 169.6011, 169.1214, 207.8132, 150.7174, 203.0432, 149.0652, 209.635, 157.4284, 184.7425, 167.3052, 180.8358, 161.9446, 182.6536, 148.3241, 186.6439, 207.5061, 178.0196, 154.7076, 187.8096, 192.4497,
 174.9911, 154.7298, 187.4006, 55.89075, 173.9993, 174.1673, 185.7557, 166.6172, 161.2226, 202.3312, 175.0076, 190.761, 200.3588, 150.4834, 178.1138, 181.5538, 261.5993, 215.7201, 260.7431, 203.3332, 186.4328, 185.4223, 177.5721, 169.7321, 183.0769, 165.3829, 184.1538, 164.487, 171.3844, 167.29, 206.5077, 176.2176, 223.9919, 153.837, 177.2104, 165.8858, 181.2687, 176.7784, 202.6417, 147.7847, 168.99, 168.581, 207.8088, 149.4184, 207.1831, 148.5374, 222.2557, 153.4052, 185.5023, 167.9004, 174.4707, 162.5839, 182.6536, 148.3241, 197.091, 183.5797, 177.8709, 149.5919, 193.4472, 151.4124,
 174.9911, 154.7298, 190.9376, 53.75891, 173.4063, 173.5379, 185.7557, 166.6172, 157.898, 201.8925, 178.2236, 190.5544, 206.9495, 150.2362, 176.2489, 184.8906, 261.2206, 219.839, 257.1525, 203.7034, 185.075, 184.2838, 174.8063, 163.9048, 183.0769, 165.3829, 184.1538, 164.487, 175.7587, 167.1086, 211.4026, 169.0403, 223.9919, 153.837, 177.1545, 165.8404, 188.2754, 161.6799, 199.7493, 153.1919, 169.5298, 167.9659, 207.8088, 149.4184, 207.0071, 147.1575, 218.8788, 155.703, 178.1458, 167.1718, 173.7649, 163.3985, 182.6536, 148.3241, 201.0959, 158.9985, 176.2943, 139.3978, 189.8964, 140.0289,
 174.9911, 154.7298, 192.3014, 52.80414, 172.7089, 172.9854, 185.7557, 166.6172, 154.0373, 193.1002, 183.8614, 190.8137, 221.1882, 148.6024, 174.0316, 184.9502, 257.5984, 221.0424, 252.1366, 207.8493, 182.0343, 181.0221, 176.3369, 159.6083, 198.9081, 158.7906, 183.0834, 159.4468, 178.9324, 171.2644, 210.2741, 164.0102, 221.0412, 148.1901, 136.2468, 176.6142, 167.0409, 168.9181, 191.9426, 160.7846, 179.6149, 161.3277, 207.5345, 146.5948, 208.4787, 146.8318, 216.019, 155.9725, 175.2152, 167.455, 176.9332, 163.0817, 180.0491, 154.7053, 201.9494, 163.4763, 175.8106, 122.7719, 189.2623, 139.3226,
