Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 174.9911, 154.7298, 202.9467, 60.82721, 185.7036, 176.309, 180.77, 184.2767, 163.5751, 178.7203, 188.7014, 203.2774, 199.6347, 169.8129, 182.0299, 193.3705, 207.5659, 210.3781, 191.1843, 187.2039, 185.0564, 185.5636, 173.2997, 165.441, 204.2425, 219.9681, 174.7277, 168.8964, 177.5579, 172.9692, 174.9419, 163.9069, 126.9771, 142.8336, 209.9318, 127.7807, 190.5213, 173.5769, 188.8492, 155.2412, 168.9291, 161.738, 350, 286, 101.465, .5, 169.3593, 167.5193, 186.227, 168.6076, 176.3555, 174.4454, 206.2592, 148.1364, 168.5342, 184.8141, 173.5877, 134.3565, 169.7347, 137.4953,
 174.9911, 154.7298, 206.9411, 54.58499, 174.715, 177.7698, 186.0976, 178.6954, 163.5751, 178.7203, 188.6541, 197.0406, 196.9067, 169.3091, 179.8586, 191.9331, 244.8489, 205.5243, 191.1843, 187.2039, 179.4607, 182.2741, 171.1306, 166.0582, 211.5328, 219.6656, 178.9842, 164.1765, 177.4238, 170.042, 177.9934, 163.6898, 191.7013, 157.6554, 209.9318, 127.7807, 191.3132, 171.0604, 187.272, 157.015, 168.2882, 161.2032, 350, 286, 97.1032, .5, 121.0074, 214.4686, 187.2316, 170.6868, 176.3844, 175.9287, 192.7981, 154.6485, 168.5342, 184.8141, 173.7289, 138.1356, 173.1274, 138.1899,
 174.9911, 154.7298, 203.2938, 54.85095, 165.0907, 177.845, 186.0024, 174.6046, 163.6078, 184.1544, 184.4722, 194.6561, 196.9067, 169.3091, 176.1402, 184.7913, 275.772, 195.9757, 189.085, 183.7482, 182.6716, 183.0685, 170.3919, 165.3811, 208.4352, 215.4124, 179.2996, 168.591, 181.3464, 173.5119, 174.209, 163.2053, 196.4064, 157.1627, 209.9318, 127.7807, 185.2929, 172.1403, 187.5218, 168.0488, 168.0439, 165.5948, 350, 286, 105.6698, .5, 350, 286, 184.4452, 172.4162, 176.6786, 170.3935, 193.7585, 168.4028, 164.8683, 181.223, 173.0245, 137.5266, 178.4806, 135.4619,
 174.9911, 154.7298, 194.3086, 57.33945, 165.0153, 168.2206, 185.3383, 174.03, 162.3096, 184.4091, 185.0306, 193.861, 192.4875, 169.5037, 174.111, 186.0044, 278.066, 191.841, 189.085, 183.7482, 185.2407, 183.0967, 170.3919, 165.3811, 205.022, 214.7085, 175.9869, 173.9047, 180.8501, 178.5521, 171.293, 164.8715, 191.5781, 156.4791, 209.9318, 127.7807, 181.7767, 170.6119, 186.8485, 181.8773, 164.4072, 165.9354, 350, 286, 105.2525, .5, 350, 286, 177.5864, 170.8397, 179.8666, 170.1024, 189.257, 167.6042, 157.3337, 174.2908, 177.0251, 142.5485, 176.4569, 134.7465,
 174.9911, 154.7298, 192.9807, 58.271, 164.9927, 168.1031, 188.0761, 173.9661, 163.7383, 186.9198, 188.2226, 193.7014, 189.1732, 169.6496, 174.3492, 189.1672, 273.3077, 191.6497, 191.1843, 187.2039, 187.8379, 180.5556, 170.3919, 165.3811, 207.671, 208.7453, 175.9869, 173.9047, 183.0289, 177.8278, 171.3764, 166.3712, 193.9306, 156.2327, 184.1495, 172.0875, 185.5685, 177.2768, 185.3553, 182.1232, 164.9275, 165.3108, 350, 286, 137.7471, 212.4023, 350, 286, 177.458, 169.3782, 179.9346, 169.9937, 181.8842, 169.2777, 155.741, 175.8738, 178.2712, 141.2275, 176.4569, 134.7465,
 174.9911, 154.7298, 198.0888, 58.89713, 163.7873, 173.5482, 171.4255, 164.7673, 164.383, 185.136, 187.6626, 194.482, 189.1732, 169.6496, 174.3492, 189.1672, 268.8162, 193.3902, 193.2837, 190.6596, 187.8097, 183.1247, 173.9823, 164.7144, 203.7641, 219.1477, 175.6743, 169.5085, 180.1029, 177.9741, 171.6263, 170.8701, 193.9306, 156.2327, 184.1495, 172.0875, 190.705, 177.0012, 188.1291, 174.9978, 169.9063, 164.8129, 195.9437, 244.172, 250.9829, 180.0079, 194.633, 215.0433, 180.381, 169.1213, 183.8607, 168.9037, 181.103, 171.9835, 155.7035, 172.2454, 176.9877, 141.265, 176.4569, 134.7465,
 174.9911, 154.7298, 200.9762, 73.35335, 161.8052, 174.153, 147.9304, 155.7282, 149.2504, 173.9496, 188.935, 196.1189, 192.4875, 169.5037, 176.1402, 184.7913, 350, 286, 196.3898, 196.5155, 188.2845, 186.3819, 177.4556, 171.2592, 200.8489, 219.2808, 181.1189, 163.2301, 173.5653, 178.9148, 171.6263, 170.8701, 193.5066, 158.1159, 185.4984, 178.2312, 187.7796, 169.5254, 181.6761, 171.3248, 172.6446, 167.0534, 196.0627, 217.1923, 229.5552, 169.1072, 183.3493, 169.8968, 180.381, 169.1213, 185.7587, 171.9364, 181.0656, 168.3551, 155.7035, 172.2454, 173.8108, 142.0301, 173.7597, 134.7672,
 174.9911, 154.7298, 197.462, 75.44281, 161.9405, 172.765, 141.9232, 156.529, 132.9439, 171.3928, 189.5791, 188.8335, 192.4875, 169.5037, 181.9564, 184.7795, 350, 286, 196.3898, 196.5155, 187.7817, 185.6938, 174.5434, 175.6486, 200.4498, 210.5355, 178.5007, 167.8346, 177.9361, 178.6972, 174.2924, 164.7049, 193.5066, 158.1159, 185.4984, 178.2312, 188.1506, 176.4073, 173.1564, 172.0729, 167.6659, 167.5512, 198.295, 197.0963, 229.9576, 168.2827, 176.0888, 137.3712, 176.8742, 170.1674, 178.3491, 170.145, 184.8553, 170.1939, 164.7747, 172.1519, 168.2553, 130.633, 176.4569, 134.7465,
 174.9911, 154.7298, 194.5746, 60.98672, 154.3723, 154.5589, 139.1959, 156.5923, 126.2715, 171.8535, 185.4242, 186.4766, 189.1732, 169.6496, 179.303, 184.5532, 117.9055, 286, 191.9209, 186.0514, 185.2266, 184.3812, 173.1796, 171.2568, 199.5662, 218.9616, 170.7791, 163.9959, 180.6864, 177.2259, 175.0894, 165.3483, 190.3112, 155.4845, 181.3324, 168.9063, 190.2422, 183.1965, 176.3297, 175.9704, 167.4169, 165.0619, 201.2354, 184.0257, 142.2854, 222.744, 176.4876, 125.7942, 173.9533, 170.4364, 175.178, 170.4478, 179.3852, 170.2789, 164.7561, 170.3375, 137.6184, 112.867, 175.7937, 135.4825,
 174.9911, 154.7298, 194.5746, 60.98672, 142.2653, 146.7535, 137.746, 158.1742, 117.9492, 172.3141, 184.9508, 192.265, 189.1732, 169.6496, 176.7007, 185.1742, 218.3128, 194.175, 189.6864, 180.8194, 185.2266, 184.3812, 170.3018, 169.7428, 199.5662, 218.9616, 153.7872, 140.7747, 180.1029, 177.9741, 172.1854, 167.0067, 190.3112, 155.4845, 181.3324, 168.9063, 178.7673, 176.0431, 178.5155, 180.8844, 168.2882, 161.2032, 202.7708, 171.0967, 350, .5, 175.6921, 125.0413, 158.6952, 180.6776, 177.2176, 175.053, 175.7384, 170.3357, 173.9208, 179.3152, 113.7645, 87.86995, 173.7301, 136.1834,
