Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 183.1314, 162.2759, 195.5568, 54.82278, 277.5049, 239.0121, 166.9705, 168.1662, 158.7824, 206.2285, 181.6295, 186.1744, 195.2631, 170.9767, 176.1999, 189.4463, 233.128, 211.6085, 209.9412, 212.4176, 183.147, 186.3069, 176.8175, 167.6938, 195.7263, 187.0334, 189.3663, 166.4948, 182.8095, 173.4386, 174.073, 175.7675, 350, 144.7641, 117.7501, 201.6793, 184.2168, 182.8183, 182.7816, 164.3594, 163.0172, 178.651, 179.2912, 171.3428, 184.9799, 150.1192, 189.343, 156.3727, 185.2645, 166.4154, 183.8352, 170.5736, 162.8902, 157.8038, 181.103, 171.9835, 187.7435, 157.6516, 178.5012, 138.1488,
 176.6139, 154.6849, 194.9814, 47.49625, 280.4304, 239.2841, 165.6463, 168.3211, 158.2728, 205.636, 180.8466, 186.8538, 199.6466, 167.4577, 176.1999, 189.4463, 234.5058, 213.8972, 203.4433, 171.7737, 183.1657, 185.0225, 176.8175, 167.6938, 191.3341, 185.5378, 188.3483, 161.3359, 181.8718, 169.7377, 174.073, 175.7675, 350, 144.7641, 117.7501, 201.6793, 184.4042, 186.2761, 183.2303, 169.4712, 163.2574, 181.1421, 176.751, 174.4273, 178.3442, 147.304, 183.6191, 156.8889, 185.2645, 166.4154, 183.9736, 172.1689, 171.9211, 155.8031, 181.103, 171.9835, 187.5936, 152.5173, 177.791, 138.8239,
 181.1821, 175.7006, 196.5069, 48.39865, 254.7928, 227.5293, 165.6167, 171.0759, 158.5556, 205.4749, 180.8466, 186.8538, 197.1498, 174.833, 177.1422, 189.4874, 233.8225, 212.7488, 200.4375, 180.8447, 182.6576, 184.353, 173.1796, 171.2568, 191.7693, 181.9117, 189.3663, 166.4948, 183.3288, 169.6652, 174.7738, 175.0914, 198.8962, 168.5127, 117.7501, 201.6793, 182.1037, 192.2628, 187.1404, 174.1145, 163.2574, 181.1421, 176.751, 174.4273, 175.4224, 146.2161, 186.4811, 156.6308, 182.3534, 166.6701, 179.1877, 172.5841, 181.8643, 152.8901, 159.3694, 175.8365, 185.8049, 158.3211, 178.4591, 138.0981,
 185.6593, 218.8546, 194.0912, 49.01761, 191.9977, 195.6269, 165.49, 166.9868, 156.2222, 204.8461, 185.0813, 205.8228, 189.5544, 177.2577, 179.2496, 189.3223, 230.883, 214.1975, 201.617, 183.6083, 183.8585, 183.2259, 176.0574, 172.7708, 191.9522, 186.3041, 191.5898, 165.5548, 183.3288, 169.6652, 175.0027, 179.5733, 199.4939, 169.1118, 117.7501, 201.6793, 182.0109, 190.5423, 209.931, 191.8216, 163.8246, 181.6681, 179.5634, 174.1552, 178.4981, 148.7122, 191.2855, 154.0912, 176.5314, 167.1795, 178.3343, 171.9536, 180.9521, 153.8025, 150.2982, 175.9299, 185.1763, 157.7266, 177.791, 138.8239,
 187.2309, 223.7708, 191.6996, 41.87115, 166.3167, 166.9969, 165.6167, 171.0759, 156.8043, 204.3318, 190.8241, 223.1096, 188.1129, 169.5068, 178.7502, 189.7725, 226.5832, 213.3864, 195.3384, 184.7092, 183.8585, 183.2259, 179.1155, 165.5613, 193.0934, 194.5076, 194.4355, 163.8846, 184.2724, 173.3656, 175.0027, 179.5733, 197.1525, 169.3719, 117.7501, 201.6793, 184.5915, 189.7339, 238.9241, 230.2979, 167.0243, 181.8865, 179.8355, 176.9675, 181.7455, 146.2445, 189.8534, 154.2145, 187.1021, 170.6546, 174.5402, 174.5947, 180.0121, 152.901, 150.2982, 175.9299, 183.7436, 153.9247, 178.5012, 138.1488,
 184.4771, 215.1532, 192.5744, 40.31351, 166.9047, 166.2853, 167.9683, 179.7567, 178.1237, 219.0643, 190.059, 222.6806, 188.0392, 168.5013, 176.6489, 189.9366, 230.2029, 213.0676, 189.8063, 195.0486, 183.8585, 183.2259, 176.2077, 165.5012, 196.0338, 194.3846, 195.0294, 172.7186, 183.5464, 174.0361, 175.0027, 179.5733, 196.3208, 167.7507, 117.7501, 201.6793, 184.5915, 189.7339, 252.4245, 247.9144, 166.3173, 181.4366, 178.8846, 173.5045, 178.9619, 146.5451, 190.1, 157.0785, 205.3326, 177.8595, 182.3782, 172.3073, 174.599, 153.0121, 155.7035, 172.2454, 212.276, 168.5584, 177.1576, 138.1591,
 183.4354, 216.8826, 197.9255, 38.05042, 168.9375, 165.6242, 190.1962, 195.3791, 205.5869, 229.2656, 190.059, 222.6806, 189.1801, 167.3604, 176.4028, 186.7846, 235.0125, 212.6201, 187.3409, 199.4162, 183.1844, 183.7381, 173.2997, 165.441, 195.2465, 194.9668, 194.7324, 168.3015, 183.3288, 169.6652, 182.7015, 183.6738, 198.8846, 163.3706, 117.7501, 201.6793, 184.5915, 189.7339, 245.315, 249.0595, 163.8246, 181.6681, 178.4596, 169.2894, 180.0311, 149.9385, 190.5933, 172.2383, 208.0342, 174.9208, 184.7973, 172.7981, 172.749, 153.0791, 155.7035, 172.2454, 240.9698, 176.6524, 177.1576, 138.1591,
 188.3712, 218.1612, 201.5887, 37.7626, 167.6893, 169.6178, 210.8143, 202.8967, 205.5869, 229.2656, 189.229, 223.1966, 191.3328, 166.1452, 175.9444, 186.2958, 234.6559, 215.7086, 187.5556, 202.9587, 183.1283, 187.5913, 176.2077, 165.5012, 195.2465, 194.9668, 192.8559, 164.1219, 183.3288, 169.6652, 200.3319, 189.6817, 211.8039, 168.4529, 117.7501, 201.6793, 183.8241, 192.17, 244.7584, 248.7346, 164.5401, 182.1164, 178.7429, 172.0995, 184.6793, 147.3356, 186.8447, 192.6636, 207.9465, 171.7257, 184.7973, 172.7981, 176.3573, 151.1804, 168.4593, 177.5572, 239.595, 167.9921, 177.1372, 135.4722,
 195.3069, 216.1684, 203.9957, 44.9454, 181.722, 177.8516, 209.1741, 199.4933, 205.5869, 229.2656, 195.6099, 222.8485, 191.3328, 166.1452, 178.3001, 189.276, 227.7106, 219.932, 187.5556, 202.9587, 183.7828, 188.3824, 175.5314, 166.2216, 192.3183, 195.0888, 189.1806, 163.5486, 183.5464, 174.0361, 211.0651, 193.6441, 224.5083, 172.3431, 117.7501, 201.6793, 206.7459, 203.4177, 251.7653, 248.9572, 164.8395, 179.0595, 179.0262, 174.9097, 192.5723, 148.6564, 189.4486, 189.5436, 210.5985, 168.536, 187.3483, 173.3319, 182.7284, 151.9514, 190.3237, 186.4039, 235.9432, 159.6702, 177.1372, 135.4722,
 198.6567, 215.2867, 198.6447, 47.20847, 202.3154, 195.3577, 208.5486, 204.084, 203.2635, 227.013, 206.7767, 222.2395, 193.4895, 167.038, 178.3001, 189.276, 223.7876, 216.6096, 215.5023, 214.7915, 183.8207, 185.8042, 173.2997, 165.441, 187.4128, 195.9842, 190.6612, 163.5674, 199.9358, 180.5228, 211.4685, 189.6942, 226.3678, 171.6246, 117.7501, 201.6793, 236.7911, 225.0532, 251.2384, 248.6316, 164.8395, 179.0595, 179.0262, 174.9097, 210.9336, 155.7641, 190.6399, 180.114, 206.875, 166.7384, 184.1746, 173.6205, 177.2875, 152.0636, 177.5679, 181.0921, 235.812, 154.535, 187.9873, 148.8245,
