Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 163.1911, 189.2692, .5, .5, 159.7248, 159.3444, 188.0005, 181.2132, 179.9641, 248.1653, 185.0446, 187.3894, 150.745, 286, 174.8346, 192.074, 251.7912, 204.0853, 178.7374, 183.5381, 171.9697, 183.7545, 181.9332, 169.9831, .5, 286, 187.713, 163.5412, 183.9798, 167.5135, 175.9627, 169.0392, 166.417, 149.116, 189.541, 131.027, 184.3304, 182.6178, 218.1749, 138.5305, 170.6531, 172.2811, 184.6438, 167.9862, 81.91963, 239.4966, 175.6622, 148.9289, 181.3407, 164.6528, 188.2058, 165.3726, 181.326, 171.9391, 177.7318, 181.2477, 185.9353, 139.719, 177.8312, 144.1721,
 172.4818, 186.3007, .5, .5, 155.6863, 158.2579, 188.0005, 181.2132, 181.1523, 227.5415, 189.5452, 182.3234, 148.5497, 286, 174.8346, 192.074, 252.7101, 200.92, 180.7911, 187.0009, 174.5485, 183.7639, 181.9332, 169.9831, 61.6725, 286, 185.5026, 163.0062, 183.9798, 167.5135, 175.9627, 169.0392, 166.417, 149.116, 189.541, 131.027, 192.9282, 182.1121, 209.1727, 134.2575, 170.6531, 172.2811, 184.7798, 169.3923, 80.56809, 237.1317, 203.1634, 144.9413, 176.0964, 162.8654, 194.1891, 170.3871, 181.326, 171.9391, 177.6241, 186.5348, 185.9353, 139.719, 177.8725, 146.8688,
 170.1292, 190.7175, 30.86782, .5, 151.8998, 163.6791, 193.4498, 181.002, 172.1925, 197.1385, 198.8064, 187.2782, 146.9298, 286, 173.7876, 192.1586, 252.7101, 200.92, 181.3997, 182.6103, 174.5485, 183.7639, 184.811, 171.4971, 225.4442, 286, 216.0256, 155.0382, 180.1247, 163.9824, 182.1674, 173.2159, 166.417, 149.116, 189.541, 131.027, 187.466, 177.2569, 218.6728, 143.6331, 170.4042, 169.7918, 185.4603, 176.4232, 86.96761, 233.904, 227.1471, 142.2173, 204.13, 163.4651, 194.1891, 170.3871, 181.326, 171.9391, 164.9244, 186.6657, 183.3681, 139.7941, 177.8725, 146.8688,
 169.263, 188.1481, 163.9985, 41.06451, 152.5275, 164.2267, 192.7304, 181.5905, 178.1948, 198.1902, 215.0461, 191.0448, 149.6359, 286, 173.7876, 192.1586, 252.7101, 200.92, 183.0008, 182.3589, 174.5485, 183.7639, 184.811, 171.4971, 202.2621, 222.5412, 252.2402, 143.7297, 176.4453, 163.4903, 217.5787, 179.8176, 194.6387, 157.7158, 189.541, 131.027, 179.6409, 178.5916, 219.1705, 148.7358, 168.5243, 170.5771, 185.1882, 173.6108, 121.9898, 205.6796, 228.5316, 147.2169, 235.2109, 165.2825, 189.0132, 166.0341, 181.326, 171.9391, 165.7648, 185.9338, 180.801, 139.869, 177.8312, 144.1721,
 173.5533, 188.7149, 179.4575, 44.46414, 164.9135, 159.1761, 189.3126, 182.2783, 199.1565, 199.6472, 225.5835, 189.7538, 154.3932, 286, 173.7876, 192.1586, 251.2113, 204.6532, 178.0158, 186.1137, 175.0469, 186.9811, 184.811, 171.4971, 216.4154, 175.0181, 259.3343, 150.2531, 179.8103, 172.122, 244.6214, 181.5474, 197.2368, 159.7817, 189.541, 131.027, 179.7337, 180.3122, 189.9651, 201.3802, 168.5243, 170.5771, 185.4548, 168.6917, 160.3227, 174.8399, 233.4299, 152.6777, 236.2541, 165.9976, 188.0696, 163.6664, 181.326, 171.9391, 143.1349, 185.0759, 180.801, 139.869, 177.8312, 144.1721,
 173.2045, 183.4044, 183.1367, 44.15424, 208.1755, 166.5229, 189.4686, 186.3339, 210.418, 201.7176, 225.5835, 189.7538, 162.36, 200.3844, 174.2266, 192.6411, 249.4182, 204.8003, 177.3283, 189.0546, 175.0185, 190.849, 187.0925, 170.7764, 224.651, 161.475, 258.5255, 149.2231, 182.5168, 167.5867, 244.6214, 181.5474, 197.2368, 159.7817, 271.9453, 140.5759, 205.6339, 180.6411, 207.9696, 209.9261, 167.519, 173.1883, 185.8664, 172.927, 161.2126, 176.9641, 230.7572, 147.5338, 232.7753, 171.3776, 186.05, 159.05, 165.0031, 172.2758, 127.4495, 184.507, 180.801, 139.869, 191.3147, 143.9655,
 194.5626, 183.78, 186.2304, 45.84088, 246.7155, 171.9804, 192.0163, 182.1744, 214.7505, 204.2263, 229.388, 190.1321, 165.4579, 188.6695, 185.2204, 190.1805, 276.9026, 209.7657, 180.2459, 191.7657, 177.7662, 185.8401, 184.1843, 170.7282, 221.6007, 158.6687, 258.5255, 149.2231, 182.5168, 167.5867, 244.1292, 180.9523, 197.8248, 159.1539, 271.9453, 140.5759, 231.4411, 179.2495, 241.0747, 162.0524, 170.2504, 175.4393, 184.7798, 169.3923, 174.3653, 161.8951, 226.9678, 148.6259, 226.8027, 170.4045, 185.6172, 154.2893, 154.8976, 171.4617, 140.61, 186.198, 159.2424, 149.4911, 210.9001, 144.4686,
 217.1493, 186.5399, 191.7583, 45.43353, 245.8144, 172.5851, 192.0163, 182.1744, 216.4728, 202.5471, 229.388, 190.1321, 168.7233, 186.453, 211.1428, 184.9234, 303.3295, 223.8435, 181.1779, 192.3885, 199.0511, 182.5643, 181.3, 169.226, 213.8531, 148.7248, 252.0309, 156.2897, 166.4223, 183.9317, 244.4955, 170.8699, 225.7674, 154.7698, 270.4186, 141.6016, 232.1638, 181.6449, 237.175, 157.2817, 172.7415, 175.1991, 184.5077, 166.5798, 188.2718, 147.4973, 220.8031, 151.3957, 227.0155, 166.6362, 188.7389, 162.8578, 155.681, 170.6474, 140.61, 186.198, 130.7369, 157.3631, 217.5805, 138.9971,
 217.5746, 182.269, 227.0397, 46.53909, 241.4669, 173.4616, 189.3126, 182.2783, 215.9331, 201.7252, 224.6074, 190.4363, 171.2084, 191.821, 226.6793, 181.5596, 307.4842, 227.6187, 220.2616, 199.7313, 220.4442, 180.5503, 181.3, 169.226, 213.0553, 143.5971, 247.6323, 156.5843, 142.4065, 204.284, 238.8018, 177.179, 254.4781, 146.7424, 270.4186, 141.6016, 232.9225, 182.7342, 232.5702, 162.8822, 171.2557, 172.828, 184.7798, 169.3923, 186.873, 147.6666, 228.5556, 149.947, 233.0845, 169.0638, 191.0128, 170.6614, 150.2109, 170.7325, 130.4538, 187.0211, 122.8774, 151.1918, 218.8979, 136.2847,
 217.5746, 182.269, 247.0444, 60.44522, 237.5006, 173.5808, 214.9457, 179.9387, 211.0367, 198.3905, 233.2804, 184.4399, 170.0513, 192.8269, 226.0868, 174.2302, 307.2098, 227.1353, 254.5599, 208.7816, 223.023, 180.5503, 184.8411, 170.0432, 212.8707, 139.1864, 247.1427, 155.9042, 133.8132, 209.1339, 230.176, 193.7961, 256.8178, 146.4746, 273.2893, 142.1446, 232.9225, 182.7342, 229.1685, 163.214, 173.5067, 170.0967, 185.4603, 176.4232, 185.1656, 151.4168, 241.6478, 157.0819, 234.238, 171.2552, 209.709, 172.8992, 155.681, 170.6474, 114.1631, 190.8179, 125.7195, 145.3311, 215.3889, 137.05,
