Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 30.38859, 10.18033, 200.0609, 286, 170.0727, 202.3181, 186.141, 170.2157, 156.4905, 216.6915, 167.6494, 179.5737, .5, 13.49054, 173.2797, 185.8763, 288.838, 223.2274, 227.7419, 216.7709, 183.5423, 187.0731, 178.6146, 178.8898, 193.0095, 177.6398, 188.6946, 178.2034, 182.3705, 164.6606, 178.1732, 168.254, 187.5366, 151.8275, 246.2093, 144.283, 235.4894, 158.3253, 190.7534, 156.6593, 173.8848, 168.1624, 172.8321, 180.4484, 175.6791, 160.3411, 172.0056, 166.2422, 178.0658, 167.1122, 179.6214, 168.4452, 205.8199, 127.8877, 188.229, 159.209, 155.7432, 180.9557, 175.9325, 152.9625,
 68.54704, 73.44359, 214.5741, 180.1396, 160.7508, 193.5908, 185.8291, 162.1046, 160.6315, 216.4307, 149.8406, 175.7451, .5, 13.23132, 174.0634, 190.546, 288.838, 223.2274, 241.0461, 245.7837, 183.5718, 183.133, 181.0243, 175.2778, 192.8433, 173.2277, 191.9215, 182.4059, 182.3705, 164.6606, 176.9807, 174.3321, 187.5366, 151.8275, 246.2093, 144.283, 235.4894, 158.3253, 166.1578, 142.71, 172.8699, 170.771, 172.5822, 177.6318, 171.0402, 156.7276, 168.3148, 149.5219, 179.7389, 161.8138, 178.7725, 167.7983, 205.1847, 138.0242, 188.229, 159.209, 155.7432, 180.9557, 172.5867, 153.6621,
 126.9849, 119.6177, 246.3659, 37.60025, 140.6378, 161.7567, 186.4841, 162.7919, 163.3922, 216.2568, 149.8406, 175.7451, .5, 13.69482, 173.7373, 186.3558, 288.838, 223.2274, 242.8183, 282.3982, 183.5718, 183.133, 180.251, 173.0708, 193.3619, 169.5935, 189.14, 173.1145, 180.9857, 164.7748, 169.2482, 170.2159, 186.4675, 153.3017, 246.2093, 144.283, 235.4894, 158.3253, 139.1461, 120.4846, 173.1013, 173.2637, 171.6635, 174.1874, 170.5842, 158.8817, 135.8998, 123.2317, 151.5847, 159.8692, 178.6341, 166.2029, 195.2744, 144.4351, 187.3651, 158.3525, 203.7097, 157.8003, 175.9325, 152.9625,
 134.1012, 119.1481, 251.6901, 35.35101, 126.8071, 137.0706, 186.4841, 162.7919, 163.3922, 216.2568, 149.8406, 175.7451, .5, 13.20444, 174.0634, 190.546, 288.838, 223.2274, 235.4027, 258.146, 183.5718, 183.133, 179.5466, 172.4092, 193.3619, 169.5935, 185.7005, 165.9507, 181.2254, 169.1803, 137.2277, 146.8664, 188.1499, 152.4769, 246.2093, 144.283, 235.4894, 158.3253, 136.167, 114.5649, 174.4275, 173.2328, 174.8696, 178.1483, 151.5726, 142.9475, 105.0038, 112.5323, 115.2747, 157.6454, 183.42, 165.7878, 186.1314, 140.9946, 187.3651, 158.3525, 249.1554, 135.9982, 142.0035, 134.4713,
 135.8802, 119.0307, 251.6901, 35.35101, 126.8071, 137.0706, 153.235, 140.9275, 165.3889, 215.6958, 153.0311, 175.571, .5, 11.97327, 174.0634, 190.546, 288.838, 223.2274, 217.964, 206.9932, 184.1129, 182.5059, 175.9783, 171.5737, 192.7325, 170.2863, 189.9081, 164.2954, 178.7337, 164.103, 111.2175, 137.5593, 188.1499, 152.4769, 246.2093, 144.283, 235.4894, 158.3253, 135.3781, 106.0527, 172.4104, 172.7798, 177.6841, 177.8872, 121.4662, 112.7806, 107.9533, 117.6195, 111.3532, 154.5673, 186.6105, 165.5109, 186.1314, 140.9946, 158.2247, 162.3021, 244.7663, 140.3603, 102.5721, 106.6026,
 135.8802, 119.0307, 253.159, 34.715, 125.6017, 136.0306, 116.9346, 119.2814, 166.1529, 216.0829, 155.9606, 170.6112, .5, 15.49847, 173.4926, 183.2131, 288.838, 223.2274, 205.9422, 192.0861, 183.5423, 187.0731, 169.3716, 172.053, 190.8235, 175.4561, 188.4399, 164.2758, 179.1519, 158.9549, 111.3586, 140.5611, 188.1499, 152.4769, 246.2093, 144.283, 235.4894, 158.3253, 135.4124, 117.4146, 167.4074, 173.246, 178.2153, 177.1321, 108.9628, 99.97018, 109.1593, 124.4597, 110.5988, 154.1761, 184.6001, 160.8635, 157.0006, 136.1521, 130.889, 164.4091, 241.5935, 140.0582, 99.7976, 99.89119,
 133.0075, 118.5515, 249.9259, 32.36041, 129.0966, 123.827, 117.8728, 120.0415, 134.9733, 196.7497, 150.6527, 161.3007, .5, 15.21942, 173.7373, 186.3558, 288.838, 223.2274, 198.8893, 192.7272, 183.4855, 181.9606, 172.3031, 172.1264, 188.4866, 174.8645, 185.9662, 171.7951, 182.2974, 163.1977, 111.3586, 140.5611, 188.6609, 151.8629, 246.2093, 144.283, 235.4894, 158.3253, 135.6535, 120.4771, 166.6859, 171.4587, 178.4652, 179.9487, 107.8167, 98.29634, 104.7566, 124.8481, 110.5988, 154.1761, 172.8793, 155.4511, 130.8107, 139.1744, 127.2417, 164.447, 224.6699, 130.3105, 99.7976, 99.89119,
 135.7628, 117.2517, 246.0812, 33.95596, 139.0835, 102.4716, 117.8728, 120.0415, 106.8034, 169.3138, 139.2841, 146.7048, .5, 46.53784, 173.7373, 186.3558, 288.838, 223.2274, 197.879, 193.8121, 184.157, 178.5661, 178.166, 172.2729, 189.0962, 174.1547, 174.8114, 168.8233, 183.0386, 163.8373, 107.7923, 128.6946, 192.8067, 151.9142, 246.2093, 144.283, 235.4894, 158.3253, 124.0506, 112.6965, 165.0732, 167.8299, 178.4652, 179.9487, 104.311, 99.79698, 103.424, 116.5211, 105.9487, 151.6584, 138.5436, 141.5134, 134.6631, 153.6302, 118.1235, 164.5415, 157.3849, 105.3879, 97.10064, 99.92215,
 136.4571, 122.5, 179.9094, 10.72269, 144.6192, 95.19775, 119.7011, 120.5337, 100.9099, 164.1213, 136.4985, 136.4729, 62.27868, 100.7359, 173.7373, 186.3558, 288.838, 223.2274, 198.0305, 195.5769, 156.1089, 167.1668, 178.1182, 170.8947, 213.1526, 162.3542, 142.7923, 143.6925, 183.7605, 163.1245, 104.0402, 122.2215, 227.9129, 139.4047, 246.2093, 144.283, 235.4894, 158.3253, 115.422, 113.0536, 173.8631, 161.2897, 178.2153, 177.1321, 99.71923, 99.97368, 104.1091, 117.5103, 105.9487, 151.6584, 120.7954, 129.431, 136.3649, 146.3462, 118.1613, 168.1888, 109.7263, 81.56451, 97.10064, 99.92215,
 134.5708, 126.2643, 111.9068, .5, 142.3006, 105.8141, 119.7011, 120.5337, 103.6814, 163.946, 142.0746, 137.1286, 102.463, 125.3797, 176.077, 189.3353, 288.838, 223.2274, 206.4533, 210.8538, 118.1096, 155.0624, 178.1613, 169.4232, 254.3673, 136.2414, 121.8377, 132.455, 182.2974, 163.1977, 108.524, 122.0116, 262.316, 121.0743, 246.2093, 144.283, 235.4894, 158.3253, 112.7412, 108.2606, 205.2178, 145.7511, 186.7899, 177.7908, 101.779, 98.36153, 103.9796, 116.0428, 101.6471, 148.3645, 124.0475, 123.4007, 130.8107, 139.1744, 127.2984, 169.9179, 110.6352, 68.69131, 97.05414, 95.87683,
