Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 186.6431, 158.5696, 186.6342, .5, 92.00465, 286, 194.2722, 167.0643, 157.6968, 213.8439, 196.9745, 194.7973, 188.4668, 164.3459, 175.3467, 186.6485, 291.3942, 210.3818, 250.0942, 186.9117, 184.5009, 181.2312, 181.8019, 170.1828, 198.2802, 159.8961, 183.4168, 154.3674, 176.0722, 156.2254, 180.324, 164.4915, 196.3412, 170.5086, 184.2162, 235.3608, 197.2022, 164.4101, 202.4528, 152.2164, 172.6239, 167.1764, 171.5345, 179.1902, 180.9446, 184.0486, 169.8436, 180.4188, 191.0857, 156.2826, 181.7445, 155.4651, 92.03234, 182.5798, 184.7314, 171.946, 179.0938, 146.9912, 171.3357, 161.7376,
 204.6804, 145.8989, 185.7081, .5, 98.02117, 275.1048, 197.3482, 175.0454, 165.126, 211.5385, 212.0618, 194.4347, 193.3071, 162.3706, 175.3467, 186.6485, 291.3942, 210.3818, 246.2602, 183.5569, 184.5009, 183.868, 182.5328, 171.0239, 201.2347, 159.7967, 182.7363, 155.1242, 180.066, 161.1886, 180.5781, 169.0291, 196.602, 166.2573, 184.2162, 235.3608, 213.3283, 136.3815, 220.1043, 127.4883, 172.6239, 167.1764, 172.1602, 178.534, 182.9686, 189.5277, 167.4734, 178.3203, 213.3666, 150.6075, 180.8931, 154.7598, 91.31628, 183.9481, 184.7314, 171.946, 179.3561, 157.2618, 170.6316, 161.1154,
 225.6648, 127.7601, 190.34, .5, 150.9962, 218.3309, 193.1752, 169.9744, 165.7448, 211.044, 216.234, 184.5692, 199.3332, 161.4847, 175.1052, 190.2255, 294.9802, 210.0875, 245.5714, 184.1551, 187.7575, 184.3992, 181.7593, 171.6482, 201.8934, 160.4711, 182.7363, 155.1242, 176.0722, 156.2254, 177.2989, 164.661, 194.6177, 163.5167, 184.2162, 235.3608, 210.7287, 124.4941, 216.6801, 127.7904, 173.3215, 167.6765, 171.5345, 179.1902, 182.4993, 190.2703, 197.58, 162.8837, 230.4885, 144.6129, 180.8931, 154.7598, 103.5256, 182.6154, 184.7314, 171.946, 180.7711, 162.3644, 172.6791, 161.7222,
 225.3428, 122.4464, 189.6207, .5, 193.1584, 183.5105, 200.5204, 151.8964, 161.6595, 212.7002, 217.3204, 176.5, 199.293, 161.3839, 174.7453, 190.7846, 291.3942, 210.3818, 251.2169, 187.3601, 185.8192, 187.823, 181.7593, 171.6482, 203.3153, 158.9507, 189.8743, 150.2469, 178.5765, 147.2252, 195.5648, 152.3372, 196.3791, 163.9, 184.2162, 235.3608, 210.7287, 124.4941, 216.6801, 127.7904, 173.8228, 166.9831, 171.5345, 179.1902, 185.1506, 191.4588, 219.5622, 147.8381, 223.9056, 142.9794, 183.2288, 162.6189, 176.7778, 178.381, 184.7127, 170.1318, 175.4718, 156.0764, 196.6459, 139.8378,
 218.5797, 128.1896, 174.3923, .5, 189.2055, 183.5993, 209.89, 131.8041, 173.5622, 202.1667, 214.1334, 176.7028, 216.5242, 146.8288, 183.5279, 182.7455, 287.808, 210.676, 251.7852, 188.0281, 181.3284, 183.1935, 184.0657, 170.9536, 200.3936, 157.7038, 211.583, 130.4825, 198.2746, 141.1438, 220.3985, 148.5908, 203.8491, 154.8689, 184.2162, 235.3608, 207.2963, 124.7466, 216.6801, 127.7904, 170.4977, 165.4669, 168.7222, 179.4623, 199.3196, 177.1414, 213.7445, 148.3713, 220.1311, 144.0937, 183.2288, 162.6189, 204.8662, 169.6393, 200.9661, 162.7066, 192.4047, 142.1843, 215.1921, 117.975,
 211.924, 135.7041, 162.6833, .5, 189.2055, 183.5993, 210.1285, 124.3902, 181.3795, 193.2894, 207.6577, 175.515, 237.4088, 129.1441, 195.8049, 166.0446, 284.0748, 209.1772, 248.2115, 188.2834, 195.0478, 168.0478, 184.5619, 176.1299, 196.0581, 162.1393, 228.4028, 114.7032, 209.2591, 139.7621, 220.3083, 150.2984, 216.134, 135.7866, 184.2162, 235.3608, 193.5666, 125.7561, 215.9265, 126.8797, 169.9906, 166.1755, 173.8027, 173.2933, 216.6588, 158.7681, 214.9106, 143.6801, 213.4514, 143.8206, 199.5199, 146.5921, 204.8662, 169.6393, 219.9582, 163.6381, 213.4288, 122.4188, 209.2416, 117.5144,
 209.045, 129.5518, 168.0342, .5, 189.2055, 183.5993, 207.2, 124.4985, 180.8495, 184.9421, 201.2836, 175.9206, 236.8164, 125.2632, 199.7176, 162.5875, 276.9026, 209.7657, 242.8511, 188.6662, 203.5186, 155.5037, 180.9143, 179.6749, 202.6399, 159.6035, 222.5072, 115.05, 209.4822, 144.1878, 217.2948, 150.4537, 222.3359, 121.3995, 184.2162, 235.3608, 181.5531, 126.6395, 199.7096, 131.0133, 172.0724, 167.8018, 184.3204, 163.7854, 218.8596, 152.8271, 215.8326, 147.2859, 195.9929, 145.6575, 217.2423, 139.3649, 177.4767, 164.8372, 215.6156, 162.8181, 212.5562, 109.1806, 205.1497, 113.5156,
 205.0508, 122.648, 168.8973, .5, 191.3265, 157.1578, 198.0825, 128.8159, 185.1072, 175.4922, 202.2688, 166.258, 228.1495, 120.9195, 196.0011, 162.4181, 273.3164, 210.0599, 239.2776, 188.9215, 200.8917, 148.9366, 181.8288, 173.1933, 202.5247, 158.3466, 216.6982, 116.8707, 213.654, 141.2105, 217.1192, 144.2228, 220.9256, 119.1716, 184.2162, 235.3608, 175.9784, 131.5404, 188.9833, 126.7833, 171.7733, 170.912, 184.3204, 163.7854, 212.5993, 154.0809, 205.1022, 142.4474, 178.9702, 144.9369, 208.9156, 137.1152, 173.0135, 165.8404, 199.9999, 163.741, 207.3287, 104.2118, 202.4526, 113.5465,
 202.1164, 116.401, 161.5708, .5, 202.9426, 124.5277, 191.2755, 129.1325, 178.8399, 175.2918, 190.5055, 157.4064, 230.3029, 113.7779, 191.5939, 159.6163, 273.8775, 209.6069, 237.4907, 189.0491, 198.265, 151.5634, 181.9396, 168.7777, 198.9159, 157.7472, 217.5522, 115.9368, 209.0359, 135.3365, 201.4858, 135.9954, 219.2725, 114.3354, 184.2162, 235.3608, 175.9784, 131.5404, 188.9833, 126.7833, 180.8159, 166.9244, 182.7467, 162.5918, 212.7467, 155.7767, 188.0015, 132.353, 176.8434, 145.8506, 202.7092, 128.7535, 184.8038, 164.6098, 190.1554, 170.0758, 202.069, 97.96841, 183.5584, 112.4151,
 199.0596, 112.292, 155.2745, .5, 201.6253, 124.5623, 188.3628, 125.1749, 168.9248, 173.1277, 177.757, 158.2177, 230.9394, 113.3605, 186.2257, 157.9364, 259.6594, 189.039, 209.1573, 169.522, 193.6604, 152.2813, 181.1709, 169.4147, 198.1808, 156.9414, 203.7945, 109.3234, 198.5604, 132.9067, 181.9416, 138.6779, 211.0522, 110.92, 184.2162, 235.3608, 171.7011, 132.7122, 183.4344, 133.2819, 189.3087, 163.5488, 182.7467, 162.5918, 205.8773, 151.396, 181.0134, 135.956, 176.5722, 142.9177, 196.3028, 129.1259, 186.0192, 135.5537, 201.0348, 164.7175, 197.3353, 84.4588, 164.6332, 108.5866,
