Screen position for video for 15 participants
P1V1 - X, P1V1 - Y,P1V2 - X, P1V2 - Y,P2V1 - X, P2V1 - Y,P2V2 - X, P2V2 - Y,P3V1 - X, P3V1 - Y,P3V2 - X, P3V2 - Y,P4V1 - X, P4V1 - Y,P4V2 - X, P4V2 - Y,P5V1 - X, P5V1 - Y,P5V2 - X, P5V2 - Y,P6V1 - X, P6V1 - Y,P6V2 - X, P6V2 - Y,P7V1 - X, P7V1 - Y,P7V2 - X, P7V2 - Y,P8V1 - X, P8V1 - Y,P8V2 - X, P8V2 - Y,P9V1 - X, P9V1 - Y,P9V2 - X, P9V2 - Y,P10V1 - X, P10V1 - Y,P10V2 - X, P10V2 - Y,P11V1 - X, P11V1 - Y,P11V2 - X, P11V2 - Y,P12V1 - X, P12V1 - Y,P12V2 - X, P12V2 - Y,P13V1 - X, P13V1 - Y,P13V2 - X, P13V2 - Y,P14V1 - X, P14V1 - Y,P14V2 - X, P14V2 - Y,P15V1 - X, P15V1 - Y,P15V2 - X, P15V2 - Y
 197.5672, 128.0612, 165.0862, 60.04379, 156.7087, 194.033, 188.6813, 163.2609, 157.9055, 197.5735, 183.8849, 204.2278, 185.3024, 191.8078, 179.6559, 193.1367, 235.5768, 204.7539, 255.2376, 181.598, 182.9304, 183.9105, 173.3301, 159.7248, 191.6434, 159.3192, 309.4829, 286, 174.597, 156.2998, 173.5136, 182.7675, 70.64107, 148.6132, 184.2162, 235.3608, 186.5583, 198.5509, 199.7156, 163.0917, 171.2087, 153.3473, 168.3764, 168.926, 196.8668, 145.3748, 188.4981, 152.8387, 172.3029, 160.9943, 181.315, 168.3628, 183.0781, 166.3467, 186.5456, 171.9273, 23.40672, 93.57208, 173.2824, 162.4651,
 197.5672, 128.0612, 177.4464, 75.59473, 156.5639, 190.1273, 189.0554, 171.3666, 158.7065, 198.0314, 183.8849, 204.2278, 187.4766, 191.7001, 177.5679, 193.305, 232.0088, 205.0452, 258.1426, 183.2525, 182.9304, 183.9105, 172.0128, 152.3144, 191.6434, 159.3192, 350, 286, 178.1033, 152.4346, 172.9414, 183.565, 70.64107, 148.6132, 184.2162, 235.3608, 183.7902, 192.6983, 197.7284, 169.3497, 171.2087, 153.3473, 165.8272, 172.0239, 198.7202, 141.5584, 189.2856, 153.5467, 174.4727, 160.0788, 174.9291, 160.151, 191.0654, 163.6446, 186.4521, 162.8561, 23.40672, 93.57208, 170.7401, 170.5548,
 200.4074, 128.8232, 167.2324, 85.66504, 159.9791, 183.3543, 189.0554, 171.3666, 156.4609, 206.5212, 183.8849, 204.2278, 194.5952, 195.2154, 177.0781, 193.74, 230.8074, 212.327, 255.2376, 181.598, 184.219, 187.8752, 171.4069, 148.606, 192.3449, 159.9913, 184.5895, 203.9655, 179.0972, 157.5517, 170.6314, 183.0716, 70.64107, 148.6132, 184.2162, 235.3608, 178.7883, 185.345, 194.0296, 166.1888, 171.2087, 153.3473, 168.9251, 174.5731, 194.5935, 144.9101, 187.2133, 154.4877, 173.664, 159.4555, 174.7821, 158.5499, 194.7495, 167.2165, 187.4028, 161.9997, 23.40672, 93.57208, 174.7545, 167.8113,
 203.1366, 137.3613, 166.4659, 76.51459, 158.9749, 184.8232, 184.8155, 167.5008, 156.4609, 206.5212, 182.5956, 209.1098, 195.3291, 187.5528, 179.1598, 193.5727, 231.0985, 215.895, 249.7206, 177.1677, 184.219, 187.8752, 174.3501, 148.6923, 196.1565, 165.0816, 193.5411, 172.9826, 177.3988, 153.2005, 169.9407, 183.7189, 70.64107, 148.6132, 184.2162, 235.3608, 180.9642, 192.0646, 193.7605, 162.759, 171.2087, 153.3473, 169.9556, 178.1487, 191.3242, 147.3771, 187.7934, 161.7942, 171.5518, 160.3477, 184.0664, 163.2896, 192.0764, 175.2937, 189.951, 168.3943, 23.40672, 93.57208, 177.3741, 161.0378,
 203.971, 138.2523, 178.8228, 76.40926, 160.0562, 185.9594, 185.4943, 166.8564, 156.4609, 206.5212, 182.8999, 213.8905, 189.997, 186.7843, 179.5931, 194.0687, 231.0985, 215.895, 243.8722, 177.8178, 183.7034, 187.188, 177.2069, 151.7215, 192.5664, 165.874, 191.7448, 155.9549, 171.5723, 154.9733, 169.9407, 183.7189, 193.2328, 166.9938, 184.2162, 235.3608, 183.9155, 184.9948, 198.009, 163.2249, 172.4639, 153.23, 168.1234, 174.0348, 190.8224, 149.528, 188.8977, 165.3156, 174.4727, 160.0788, 187.1986, 170.1909, 189.3636, 170.9286, 189.951, 168.3943, 23.40672, 93.57208, 174.677, 161.0688,
 200.7701, 130.3709, 179.398, 83.73579, 159.9405, 182.0518, 188.8683, 167.3138, 153.6894, 206.6965, 182.5956, 209.1098, 187.8161, 186.8927, 179.5931, 194.0687, 232.3856, 218.1485, 244.1275, 181.3914, 184.219, 187.8752, 173.534, 150.8802, 188.913, 165.3384, 187.3904, 135.4557, 171.0573, 158.7228, 169.9407, 183.7189, 193.2328, 166.9938, 184.2162, 235.3608, 183.9155, 184.9948, 199.7598, 170.6951, 172.4639, 153.23, 165.358, 175.584, 190.2398, 150.3084, 189.5037, 164.5778, 181.9094, 160.8672, 181.2175, 166.6712, 184.8786, 168.2371, 191.7655, 173.8377, 23.40672, 93.57208, 173.983, 160.4415,
 201.8411, 131.3068, 174.0471, 85.99887, 156.8262, 182.8715, 189.9397, 174.8049, 149.7899, 203.3563, 182.5956, 209.1098, 183.9731, 185.2058, 179.5931, 194.0687, 231.8842, 218.8035, 247.7998, 185.0767, 182.3999, 183.228, 170.6655, 147.8378, 189.6249, 165.9848, 188.869, 135.3559, 175.275, 155.5177, 169.9407, 183.7189, 193.2328, 166.9938, 184.2162, 235.3608, 186.5583, 198.5509, 195.4571, 171.8318, 168.6984, 153.5822, 165.0188, 179.0618, 186.5101, 169.4601, 190.9545, 163.0912, 185.8023, 162.7704, 176.5287, 159.9156, 183.1397, 171.9018, 191.7655, 173.8377, 23.40672, 93.57208, 173.9518, 157.7342,
 202.0518, 136.6214, 172.5378, 78.20151, 156.8262, 182.8715, 190.8323, 178.2695, 149.5432, 199.197, 183.0805, 208.3055, 183.4275, 184.798, 179.5931, 194.0687, 231.7476, 217.018, 253.0128, 187.2311, 183.6589, 199.053, 169.9355, 148.5629, 189.4588, 161.5727, 186.8103, 148.862, 175.4404, 158.5105, 169.9407, 183.7189, 193.2328, 166.9938, 184.2162, 235.3608, 186.5583, 198.5509, 189.8965, 167.1688, 163.6774, 154.0517, 164.7578, 176.2473, 178.8127, 185.2841, 187.751, 160.3295, 185.8023, 162.7704, 177.3474, 160.6416, 183.1397, 171.9018, 187.4973, 171.118, 23.40672, 93.57208, 171.9335, 157.0544,
 202.8453, 133.7933, 178.0596, 82.91521, 156.8262, 182.8715, 190.579, 172.8239, 149.3789, 196.4242, 182.5956, 209.1098, 186.8593, 187.8867, 182.6367, 192.7856, 231.0985, 215.895, 255.3588, 187.7728, 194.0921, 229.4142, 169.0623, 153.7265, 190.8261, 161.5307, 185.4705, 139.3331, 180.1098, 162.7297, 169.7099, 179.2179, 193.2328, 166.9938, 184.2162, 235.3608, 184.3824, 191.8312, 187.0871, 174.2838, 168.0251, 153.0452, 164.4968, 173.4327, 179.7812, 180.8712, 182.4133, 158.5768, 187.049, 161.2585, 180.5237, 160.3673, 179.5124, 171.9766, 187.4973, 171.118, 23.40672, 93.57208, 169.2367, 157.0854,
 201.3309, 127.7459, 178.0596, 82.91521, 158.1285, 182.8282, 192.1547, 166.5425, 149.4699, 196.7122, 183.573, 207.5051, 186.9424, 191.3087, 182.395, 189.6614, 231.0985, 215.895, 234.1723, 192.878, 204.9265, 239.4461, 169.1732, 149.3109, 191.5953, 160.8159, 189.4371, 142.8466, 175.6654, 162.9547, 169.7099, 179.2179, 193.2328, 166.9938, 184.2162, 235.3608, 181.2075, 180.8678, 192.0298, 172.3125, 181.1778, 158.0988, 164.4968, 173.4327, 183.431, 182.6641, 183.4269, 162.1762, 186.2927, 160.5446, 183.7001, 160.0929, 170.3692, 168.5363, 188.2966, 170.255, 23.40672, 93.57208, 169.1746, 151.6915,
